GENERATION_PROJECT,PERIOD,gen_tech,gen_load_zone,gen_energy_source,GenCapacity,SuspendGen_total,GenStorageCapacity,GenCapitalRecovery,GenFixedOMCosts
Anhui-Coal_1000_RC-12125,2055,Coal_1000_RC,Anhui,Coal,0.000750309,0,.,36.4245,3.98339
Anhui-Coal_1000_RC-12125,2060,Coal_1000_RC,Anhui,Coal,0.00103351,0,.,50.1726,5.48689
Anhui-Coal_300_OT-12111,2020,Coal_300_OT,Anhui,Coal,4.68091e-06,0,.,0.237733,0.0266297
Anhui-Coal_300_OT-12111,2025,Coal_300_OT,Anhui,Coal,6.77305e-06,0,.,0.343989,0.0385319
Anhui-Coal_300_OT-12111,2030,Coal_300_OT,Anhui,Coal,1.0319e-05,0,.,0.524079,0.0587047
Anhui-Coal_300_OT-12111,2035,Coal_300_OT,Anhui,Coal,1.55531e-05,0,.,0.789911,0.0884818
Anhui-Coal_300_OT-12111,2040,Coal_300_OT,Anhui,Coal,0.000121005,0,.,6.14559,0.688398
Anhui-Coal_300_OT-12111,2045,Coal_300_OT,Anhui,Coal,0.000179262,0,.,9.10432,1.01982
Anhui-Coal_300_OT-12111,2050,Coal_300_OT,Anhui,Coal,0.000255781,0,.,12.9906,1.45514
Anhui-Coal_300_OT-12111,2055,Coal_300_OT,Anhui,Coal,0.000342333,0,.,17.3864,1.94753
Anhui-Coal_300_OT-12111,2060,Coal_300_OT,Anhui,Coal,0.000482417,0,.,24.5009,2.74447
Anhui-Coal_300_RC-12119,2020,Coal_300_RC,Anhui,Coal,4.55909e-06,0,.,0.246599,0.0276235
Anhui-Coal_300_RC-12119,2025,Coal_300_RC,Anhui,Coal,6.86247e-06,0,.,0.371188,0.0415797
Anhui-Coal_300_RC-12119,2030,Coal_300_RC,Anhui,Coal,1.02386e-05,0,.,0.553801,0.0620355
Anhui-Coal_300_RC-12119,2035,Coal_300_RC,Anhui,Coal,1.53957e-05,0,.,0.832747,0.0932825
Anhui-Coal_300_RC-12119,2040,Coal_300_RC,Anhui,Coal,8.46508e-05,0,.,4.57873,0.512899
Anhui-Coal_300_RC-12119,2045,Coal_300_RC,Anhui,Coal,0.000124883,0,.,6.75489,0.756668
Anhui-Coal_300_RC-12119,2050,Coal_300_RC,Anhui,Coal,0.00017697,0,.,9.57226,1.07226
Anhui-Coal_300_RC-12119,2055,Coal_300_RC,Anhui,Coal,0.000229408,0,.,12.4086,1.38998
Anhui-Coal_300_RC-12119,2060,Coal_300_RC,Anhui,Coal,0.000311014,0,.,16.8226,1.88443
Anhui-Coal_300_RC-12129,2020,Coal_300_RC,Anhui,Coal,4.55684e-06,0,.,0.246478,0.0276099
Anhui-Coal_300_RC-12129,2025,Coal_300_RC,Anhui,Coal,6.72283e-06,0,.,0.363635,0.0407337
Anhui-Coal_300_RC-12129,2030,Coal_300_RC,Anhui,Coal,9.83777e-06,0,.,0.532121,0.059607
Anhui-Coal_300_RC-12129,2035,Coal_300_RC,Anhui,Coal,1.4793e-05,0,.,0.800147,0.0896307
Anhui-Coal_300_RC-12129,2040,Coal_300_RC,Anhui,Coal,8.2511e-05,0,.,4.46299,0.499934
Anhui-Coal_300_RC-12129,2045,Coal_300_RC,Anhui,Coal,0.000121719,0,.,6.58371,0.737493
Anhui-Coal_300_RC-12129,2050,Coal_300_RC,Anhui,Coal,0.000170248,0,.,9.20867,1.03154
Anhui-Coal_300_RC-12129,2055,Coal_300_RC,Anhui,Coal,0.000223017,0,.,12.0629,1.35126
Anhui-Coal_300_RC-12129,2060,Coal_300_RC,Anhui,Coal,0.000306276,0,.,16.5663,1.85572
Anhui-Coal_600_OT-12109,2020,Coal_600_OT,Anhui,Coal,5.39735e-06,0,.,0.259201,0.0283415
Anhui-Coal_600_OT-12109,2025,Coal_600_OT,Anhui,Coal,7.9658e-06,0,.,0.382547,0.0418284
Anhui-Coal_600_OT-12109,2030,Coal_600_OT,Anhui,Coal,1.16714e-05,0,.,0.560506,0.0612868
Anhui-Coal_600_OT-12109,2035,Coal_600_OT,Anhui,Coal,1.76255e-05,0,.,0.846441,0.0925514
Anhui-Coal_600_OT-12109,2040,Coal_600_OT,Anhui,Coal,0.000268941,0,.,12.9155,1.41221
Anhui-Coal_600_OT-12109,2045,Coal_600_OT,Anhui,Coal,0.000400729,0,.,19.2445,2.10423
Anhui-Coal_600_OT-12109,2050,Coal_600_OT,Anhui,Coal,0.000578874,0,.,27.7997,3.03967
Anhui-Coal_600_OT-12109,2055,Coal_600_OT,Anhui,Coal,0.000809324,0,.,38.8667,4.24976
Anhui-Coal_600_OT-12109,2060,Coal_600_OT,Anhui,Coal,0.0011663,0,.,56.01,6.12424
Anhui-Coal_600_RC-12117,2020,Coal_600_RC,Anhui,Coal,5.54314e-06,0,.,0.271123,0.0296502
Anhui-Coal_600_RC-12117,2025,Coal_600_RC,Anhui,Coal,8.17782e-06,0,.,0.39999,0.0437432
Anhui-Coal_600_RC-12117,2030,Coal_600_RC,Anhui,Coal,1.1981e-05,0,.,0.586009,0.0640864
Anhui-Coal_600_RC-12117,2035,Coal_600_RC,Anhui,Coal,1.80773e-05,0,.,0.884189,0.0966955
Anhui-Coal_600_RC-12117,2040,Coal_600_RC,Anhui,Coal,0.000197625,0,.,9.66614,1.0571
Anhui-Coal_600_RC-12117,2045,Coal_600_RC,Anhui,Coal,0.000293544,0,.,14.3577,1.57017
Anhui-Coal_600_RC-12117,2050,Coal_600_RC,Anhui,Coal,0.000421861,0,.,20.6338,2.25653
Anhui-Coal_600_RC-12117,2055,Coal_600_RC,Anhui,Coal,0.000578628,0,.,28.3016,3.09508
Anhui-Coal_600_RC-12117,2060,Coal_600_RC,Anhui,Coal,0.000819373,0,.,40.0768,4.38283
Anhui-Coal_600_RC-12127,2020,Coal_600_RC,Anhui,Coal,5.31969e-06,0,.,0.260194,0.028455
Anhui-Coal_600_RC-12127,2025,Coal_600_RC,Anhui,Coal,7.85097e-06,0,.,0.384003,0.0419949
Anhui-Coal_600_RC-12127,2030,Coal_600_RC,Anhui,Coal,1.14926e-05,0,.,0.562122,0.0614741
Anhui-Coal_600_RC-12127,2035,Coal_600_RC,Anhui,Coal,1.6664e-05,0,.,0.81506,0.0891356
Anhui-Coal_600_RC-12127,2040,Coal_600_RC,Anhui,Coal,0.000197646,0,.,9.66717,1.05721
Anhui-Coal_600_RC-12127,2045,Coal_600_RC,Anhui,Coal,0.000293518,0,.,14.3564,1.57003
Anhui-Coal_600_RC-12127,2050,Coal_600_RC,Anhui,Coal,0.000419967,0,.,20.5412,2.24641
Anhui-Coal_600_RC-12127,2055,Coal_600_RC,Anhui,Coal,0.000572076,0,.,27.9811,3.06004
Anhui-Coal_600_RC-12127,2060,Coal_600_RC,Anhui,Coal,0.000812883,0,.,39.7593,4.34811
Anhui-Coal_IGCC_RC-12121,2020,Coal_IGCC_RC,Anhui,Coal,2.11994e-06,0,.,0.2907,0.0317991
Anhui-Coal_IGCC_RC-12121,2025,Coal_IGCC_RC,Anhui,Coal,3.13156e-06,0,.,0.42942,0.0469734
Anhui-Coal_IGCC_RC-12121,2030,Coal_IGCC_RC,Anhui,Coal,4.5938e-06,0,.,0.629931,0.068907
Anhui-Coal_IGCC_RC-12121,2035,Coal_IGCC_RC,Anhui,Coal,6.82761e-06,0,.,0.936246,0.102414
Anhui-Coal_IGCC_RC-12121,2040,Coal_IGCC_RC,Anhui,Coal,1.45157e-05,0,.,1.99048,0.217735
Anhui-Coal_IGCC_RC-12121,2045,Coal_IGCC_RC,Anhui,Coal,2.13367e-05,0,.,2.92583,0.32005
Anhui-Coal_IGCC_RC-12121,2050,Coal_IGCC_RC,Anhui,Coal,3.02047e-05,0,.,4.14187,0.453071
Anhui-Coal_IGCC_RC-12121,2055,Coal_IGCC_RC,Anhui,Coal,3.84803e-05,0,.,5.27667,0.577205
Anhui-Coal_IGCC_RC-12121,2060,Coal_IGCC_RC,Anhui,Coal,4.90699e-05,0,.,6.72879,0.736049
Anhui-Coal_IGCC_RC-12131,2020,Coal_IGCC_RC,Anhui,Coal,2.18962e-06,0,.,0.300255,0.0328444
Anhui-Coal_IGCC_RC-12131,2025,Coal_IGCC_RC,Anhui,Coal,3.13417e-06,0,.,0.429778,0.0470126
Anhui-Coal_IGCC_RC-12131,2030,Coal_IGCC_RC,Anhui,Coal,4.59389e-06,0,.,0.629944,0.0689084
Anhui-Coal_IGCC_RC-12131,2035,Coal_IGCC_RC,Anhui,Coal,6.82579e-06,0,.,0.935996,0.102387
Anhui-Coal_IGCC_RC-12131,2040,Coal_IGCC_RC,Anhui,Coal,1.39228e-05,0,.,1.90918,0.208842
Anhui-Coal_IGCC_RC-12131,2045,Coal_IGCC_RC,Anhui,Coal,2.04684e-05,0,.,2.80676,0.307026
Anhui-Coal_IGCC_RC-12131,2050,Coal_IGCC_RC,Anhui,Coal,2.91723e-05,0,.,4.0003,0.437585
Anhui-Coal_IGCC_RC-12131,2055,Coal_IGCC_RC,Anhui,Coal,3.77496e-05,0,.,5.17647,0.566244
Anhui-Coal_IGCC_RC-12131,2060,Coal_IGCC_RC,Anhui,Coal,4.74406e-05,0,.,6.50536,0.711609
Anhui-Commercial_PV-2,2020,Commercial_PV,Anhui,Solar,8.68413e-07,0,.,0.132675,0.0130262
Anhui-Commercial_PV-2,2025,Commercial_PV,Anhui,Solar,1.30597e-06,0,.,0.199524,0.0195895
Anhui-Commercial_PV-2,2030,Commercial_PV,Anhui,Solar,1.92914e-06,0,.,0.294731,0.0289371
Anhui-Commercial_PV-2,2035,Commercial_PV,Anhui,Solar,2.87371e-06,0,.,0.439041,0.0431057
Anhui-Commercial_PV-2,2040,Commercial_PV,Anhui,Solar,4.51441e-06,0,.,0.689704,0.0677161
Anhui-Commercial_PV-2,2045,Commercial_PV,Anhui,Solar,6.67877e-06,0,.,1.02037,0.100182
Anhui-Commercial_PV-2,2050,Commercial_PV,Anhui,Solar,9.93466e-06,0,.,1.5178,0.14902
Anhui-Commercial_PV-2,2055,Commercial_PV,Anhui,Solar,1.57655e-05,0,.,2.40862,0.236482
Anhui-Commercial_PV-2,2060,Commercial_PV,Anhui,Solar,2.36857e-05,0,.,3.61866,0.355286
Anhui-Commercial_PV-3,2020,Commercial_PV,Anhui,Solar,8.68413e-07,0,.,0.132675,0.0130262
Anhui-Commercial_PV-3,2025,Commercial_PV,Anhui,Solar,1.30597e-06,0,.,0.199524,0.0195895
Anhui-Commercial_PV-3,2030,Commercial_PV,Anhui,Solar,1.92914e-06,0,.,0.294731,0.0289371
Anhui-Commercial_PV-3,2035,Commercial_PV,Anhui,Solar,2.87371e-06,0,.,0.439041,0.0431057
Anhui-Commercial_PV-3,2040,Commercial_PV,Anhui,Solar,4.51441e-06,0,.,0.689704,0.0677161
Anhui-Commercial_PV-3,2045,Commercial_PV,Anhui,Solar,6.67877e-06,0,.,1.02037,0.100182
Anhui-Commercial_PV-3,2050,Commercial_PV,Anhui,Solar,9.93466e-06,0,.,1.5178,0.14902
Anhui-Commercial_PV-3,2055,Commercial_PV,Anhui,Solar,1.57655e-05,0,.,2.40862,0.236482
Anhui-Commercial_PV-3,2060,Commercial_PV,Anhui,Solar,2.36857e-05,0,.,3.61866,0.355286
Anhui-Commercial_PV-4,2020,Commercial_PV,Anhui,Solar,8.68413e-07,0,.,0.132675,0.0130262
Anhui-Commercial_PV-4,2025,Commercial_PV,Anhui,Solar,1.30597e-06,0,.,0.199524,0.0195896
Anhui-Commercial_PV-4,2030,Commercial_PV,Anhui,Solar,1.92914e-06,0,.,0.294731,0.0289371
Anhui-Commercial_PV-4,2035,Commercial_PV,Anhui,Solar,2.87371e-06,0,.,0.439041,0.0431056
Anhui-Commercial_PV-4,2040,Commercial_PV,Anhui,Solar,4.51441e-06,0,.,0.689704,0.0677161
Anhui-Commercial_PV-4,2045,Commercial_PV,Anhui,Solar,6.67877e-06,0,.,1.02037,0.100181
Anhui-Commercial_PV-4,2050,Commercial_PV,Anhui,Solar,9.93466e-06,0,.,1.5178,0.14902
Anhui-Commercial_PV-4,2055,Commercial_PV,Anhui,Solar,1.57655e-05,0,.,2.40862,0.236482
Anhui-Commercial_PV-4,2060,Commercial_PV,Anhui,Solar,2.36857e-05,0,.,3.61866,0.355286
Anhui-Gas_CCGT_OT-12113,2020,Gas_CCGT_OT,Anhui,Gas,2.08049e-06,0,.,0.141106,0.0133151
Anhui-Gas_CCGT_OT-12113,2025,Gas_CCGT_OT,Anhui,Gas,3.08385e-06,0,.,0.209157,0.0197366
Anhui-Gas_CCGT_OT-12113,2030,Gas_CCGT_OT,Anhui,Gas,4.41423e-06,0,.,0.299388,0.0282511
Anhui-Gas_CCGT_OT-12113,2035,Gas_CCGT_OT,Anhui,Gas,6.51571e-06,0,.,0.441918,0.0417006
Anhui-Gas_CCGT_OT-12113,2040,Gas_CCGT_OT,Anhui,Gas,2.33878e-05,0,.,1.58624,0.149682
Anhui-Gas_CCGT_OT-12113,2045,Gas_CCGT_OT,Anhui,Gas,3.44678e-05,0,.,2.33772,0.220594
Anhui-Gas_CCGT_OT-12113,2050,Gas_CCGT_OT,Anhui,Gas,5.03266e-05,0,.,3.41332,0.32209
Anhui-Gas_CCGT_OT-12113,2055,Gas_CCGT_OT,Anhui,Gas,7.45763e-05,0,.,5.05802,0.477288
Anhui-Gas_CCGT_OT-12113,2060,Gas_CCGT_OT,Anhui,Gas,0.000110059,0,.,7.4646,0.70438
Anhui-Gas_CCGT_RC-12123,2020,Gas_CCGT_RC,Anhui,Gas,2.0118e-06,0,.,0.136447,0.0128755
Anhui-Gas_CCGT_RC-12123,2025,Gas_CCGT_RC,Anhui,Gas,2.98404e-06,0,.,0.202388,0.0190979
Anhui-Gas_CCGT_RC-12123,2030,Gas_CCGT_RC,Anhui,Gas,4.28032e-06,0,.,0.290306,0.0273941
Anhui-Gas_CCGT_RC-12123,2035,Gas_CCGT_RC,Anhui,Gas,6.333e-06,0,.,0.429525,0.0405312
Anhui-Gas_CCGT_RC-12123,2040,Gas_CCGT_RC,Anhui,Gas,2.3128e-05,0,.,1.56862,0.148019
Anhui-Gas_CCGT_RC-12123,2045,Gas_CCGT_RC,Anhui,Gas,3.41186e-05,0,.,2.31404,0.218359
Anhui-Gas_CCGT_RC-12123,2050,Gas_CCGT_RC,Anhui,Gas,4.98441e-05,0,.,3.38059,0.319002
Anhui-Gas_CCGT_RC-12123,2055,Gas_CCGT_RC,Anhui,Gas,7.37665e-05,0,.,5.00309,0.472105
Anhui-Gas_CCGT_RC-12123,2060,Gas_CCGT_RC,Anhui,Gas,0.000108744,0,.,7.37539,0.695962
Anhui-Gas_CCGT_RC-12133,2020,Gas_CCGT_RC,Anhui,Gas,2.02595e-06,0,.,0.137407,0.0129661
Anhui-Gas_CCGT_RC-12133,2025,Gas_CCGT_RC,Anhui,Gas,3.00437e-06,0,.,0.203767,0.019228
Anhui-Gas_CCGT_RC-12133,2030,Gas_CCGT_RC,Anhui,Gas,4.30684e-06,0,.,0.292105,0.0275638
Anhui-Gas_CCGT_RC-12133,2035,Gas_CCGT_RC,Anhui,Gas,6.33516e-06,0,.,0.429672,0.040545
Anhui-Gas_CCGT_RC-12133,2040,Gas_CCGT_RC,Anhui,Gas,2.30688e-05,0,.,1.56461,0.147641
Anhui-Gas_CCGT_RC-12133,2045,Gas_CCGT_RC,Anhui,Gas,3.40371e-05,0,.,2.30851,0.217837
Anhui-Gas_CCGT_RC-12133,2050,Gas_CCGT_RC,Anhui,Gas,4.97288e-05,0,.,3.37278,0.318265
Anhui-Gas_CCGT_RC-12133,2055,Gas_CCGT_RC,Anhui,Gas,7.35849e-05,0,.,4.99078,0.470943
Anhui-Gas_CCGT_RC-12133,2060,Gas_CCGT_RC,Anhui,Gas,0.000108479,0,.,7.35741,0.694265
Anhui-Gas_Combustion_Turbine_RC-13107,2020,Gas_Combustion_Turbine_RC,Anhui,Gas,2.36338e-06,0,.,0.116661,0.0110062
Anhui-Gas_Combustion_Turbine_RC-13107,2025,Gas_Combustion_Turbine_RC,Anhui,Gas,3.51959e-06,0,.,0.173734,0.0163907
Anhui-Gas_Combustion_Turbine_RC-13107,2030,Gas_Combustion_Turbine_RC,Anhui,Gas,5.09983e-06,0,.,0.251737,0.0237499
Anhui-Gas_Combustion_Turbine_RC-13107,2035,Gas_Combustion_Turbine_RC,Anhui,Gas,7.6987e-06,0,.,0.380023,0.0358528
Anhui-Gas_Combustion_Turbine_RC-13107,2040,Gas_Combustion_Turbine_RC,Anhui,Gas,0.000165799,0,.,8.18415,0.772125
Anhui-Gas_Combustion_Turbine_RC-13107,2045,Gas_Combustion_Turbine_RC,Anhui,Gas,0.00024817,0,.,12.2502,1.15573
Anhui-Gas_Combustion_Turbine_RC-13107,2050,Gas_Combustion_Turbine_RC,Anhui,Gas,0.000365145,0,.,18.0243,1.70048
Anhui-Gas_Combustion_Turbine_RC-13107,2055,Gas_Combustion_Turbine_RC,Anhui,Gas,0.000541344,0,.,26.7218,2.52104
Anhui-Gas_Combustion_Turbine_RC-13107,2060,Gas_Combustion_Turbine_RC,Anhui,Gas,0.000796996,0,.,39.3413,3.71161
Anhui-Nuclear_SMR-13106,2020,Nuclear_SMR,Anhui,Uranium,940,0,.,3.18042e+08,3.384e+07
Anhui-Nuclear_SMR-13106,2025,Nuclear_SMR,Anhui,Uranium,940,0,.,3.18042e+08,3.384e+07
Anhui-Nuclear_SMR-13106,2030,Nuclear_SMR,Anhui,Uranium,2350,0,.,7.95105e+08,8.46e+07
Anhui-Nuclear_SMR-13106,2035,Nuclear_SMR,Anhui,Uranium,2350,0,.,7.95105e+08,8.46e+07
Anhui-Nuclear_SMR-13106,2040,Nuclear_SMR,Anhui,Uranium,2350,0,.,7.95105e+08,8.46e+07
Anhui-Nuclear_SMR-13106,2045,Nuclear_SMR,Anhui,Uranium,2350,0,.,7.95105e+08,8.46e+07
Anhui-Nuclear_SMR-13106,2050,Nuclear_SMR,Anhui,Uranium,2350,0,.,7.95105e+08,8.46e+07
Anhui-Nuclear_SMR-13106,2055,Nuclear_SMR,Anhui,Uranium,2350,0,.,7.95105e+08,8.46e+07
Anhui-Nuclear_SMR-13106,2060,Nuclear_SMR,Anhui,Uranium,2350,0,.,7.95105e+08,8.46e+07
Anhui-Residential_PV-201,2020,Residential_PV,Anhui,Solar,5.27812e-07,0,.,0.12892,0.0126575
Anhui-Residential_PV-201,2025,Residential_PV,Anhui,Solar,7.52736e-07,0,.,0.183859,0.0180514
Anhui-Residential_PV-201,2030,Residential_PV,Anhui,Solar,1.17751e-06,0,.,0.283606,0.0278445
Anhui-Residential_PV-201,2035,Residential_PV,Anhui,Solar,1.79517e-06,0,.,0.425147,0.0417412
