GENERATION_PROJECT,PERIOD,gen_tech,gen_load_zone,gen_energy_source,BuildGen,BuildStorageEnergy,GenCapitalOutlay
Anhui-Gas_Combustion_Turbine_RC-13107,2045,Gas_Combustion_Turbine_RC,Anhui,Gas,8.35274e-05,.,40.481
Anhui-Gas_Combustion_Turbine_RC-13107,2050,Gas_Combustion_Turbine_RC,Anhui,Gas,0.000118555,.,57.457
Anhui-Gas_Combustion_Turbine_RC-13107,2055,Gas_Combustion_Turbine_RC,Anhui,Gas,0.000178797,.,86.6529
Anhui-Gas_Combustion_Turbine_RC-13107,2060,Gas_Combustion_Turbine_RC,Anhui,Gas,0.000416116,.,201.668
Anhui-Nuclear_SMR-13106,2020,Nuclear_SMR,Anhui,Uranium,940,.,3.79253e+09
Anhui-Nuclear_SMR-13106,2025,Nuclear_SMR,Anhui,Uranium,1.14838e-08,.,0.0463326
Anhui-Nuclear_SMR-13106,2030,Nuclear_SMR,Anhui,Uranium,1410,.,5.68879e+09
Anhui-Nuclear_SMR-13106,2035,Nuclear_SMR,Anhui,Uranium,2.78677e-08,.,0.112435
Anhui-Nuclear_SMR-13106,2040,Nuclear_SMR,Anhui,Uranium,4.45267e-08,.,0.179648
Anhui-Nuclear_SMR-13106,2045,Nuclear_SMR,Anhui,Uranium,6.52917e-08,.,0.263426
Anhui-Nuclear_SMR-13106,2050,Nuclear_SMR,Anhui,Uranium,1.10584e-07,.,0.446163
Anhui-Nuclear_SMR-13106,2055,Nuclear_SMR,Anhui,Uranium,2.46905e-07,.,0.996162
Anhui-Nuclear_SMR-13106,2060,Nuclear_SMR,Anhui,Uranium,940,.,3.79253e+09
Anhui-Residential_PV-201,2020,Residential_PV,Anhui,Solar,5.27812e-07,.,1.26576
Anhui-Residential_PV-201,2025,Residential_PV,Anhui,Solar,2.24923e-07,.,0.539395
Anhui-Residential_PV-201,2030,Residential_PV,Anhui,Solar,4.24772e-07,.,0.979334
Anhui-Residential_PV-201,2035,Residential_PV,Anhui,Solar,6.17661e-07,.,1.38967
Anhui-Residential_PV-201,2040,Residential_PV,Anhui,Solar,1.52253e-06,.,3.34972
Anhui-Residential_PV-201,2045,Residential_PV,Anhui,Solar,1.66681e-06,.,3.5835
Anhui-Residential_PV-201,2050,Residential_PV,Anhui,Solar,2.79619e-06,.,5.88929
Anhui-Residential_PV-201,2055,Residential_PV,Anhui,Solar,4.18751e-06,.,8.81966
Anhui-Residential_PV-201,2060,Residential_PV,Anhui,Solar,6.56255e-06,.,13.8219
Anhui-Residential_PV-202,2020,Residential_PV,Anhui,Solar,5.27812e-07,.,1.26576
Anhui-Residential_PV-202,2025,Residential_PV,Anhui,Solar,2.24923e-07,.,0.539395
Anhui-Residential_PV-202,2030,Residential_PV,Anhui,Solar,4.24772e-07,.,0.979334
Anhui-Residential_PV-202,2035,Residential_PV,Anhui,Solar,6.17661e-07,.,1.38967
Anhui-Residential_PV-202,2040,Residential_PV,Anhui,Solar,1.52253e-06,.,3.34972
Anhui-Residential_PV-202,2045,Residential_PV,Anhui,Solar,1.66681e-06,.,3.5835
Anhui-Residential_PV-202,2050,Residential_PV,Anhui,Solar,2.79619e-06,.,5.88929
Anhui-Residential_PV-202,2055,Residential_PV,Anhui,Solar,4.18751e-06,.,8.81966
Anhui-Residential_PV-202,2060,Residential_PV,Anhui,Solar,6.56255e-06,.,13.8219
Anhui-Residential_PV-203,2020,Residential_PV,Anhui,Solar,5.27812e-07,.,1.26576
Anhui-Residential_PV-203,2025,Residential_PV,Anhui,Solar,2.24923e-07,.,0.539395
Anhui-Residential_PV-203,2030,Residential_PV,Anhui,Solar,4.24772e-07,.,0.979334
Anhui-Residential_PV-203,2035,Residential_PV,Anhui,Solar,6.17661e-07,.,1.38967
Anhui-Residential_PV-203,2040,Residential_PV,Anhui,Solar,1.52253e-06,.,3.34972
Anhui-Residential_PV-203,2045,Residential_PV,Anhui,Solar,1.66681e-06,.,3.5835
Anhui-Residential_PV-203,2050,Residential_PV,Anhui,Solar,2.79619e-06,.,5.88929
Anhui-Residential_PV-203,2055,Residential_PV,Anhui,Solar,4.18751e-06,.,8.81966
Anhui-Residential_PV-203,2060,Residential_PV,Anhui,Solar,6.56255e-06,.,13.8219
Anhui-Residential_PV-204,2020,Residential_PV,Anhui,Solar,5.27812e-07,.,1.26576
Anhui-Residential_PV-204,2025,Residential_PV,Anhui,Solar,2.24923e-07,.,0.539395
Anhui-Residential_PV-204,2030,Residential_PV,Anhui,Solar,4.24772e-07,.,0.979334
Anhui-Residential_PV-204,2035,Residential_PV,Anhui,Solar,6.17661e-07,.,1.38967
Anhui-Residential_PV-204,2040,Residential_PV,Anhui,Solar,1.52253e-06,.,3.34972
Anhui-Residential_PV-204,2045,Residential_PV,Anhui,Solar,1.66681e-06,.,3.5835
Anhui-Residential_PV-204,2050,Residential_PV,Anhui,Solar,2.79619e-06,.,5.88929
Anhui-Residential_PV-204,2055,Residential_PV,Anhui,Solar,4.18751e-06,.,8.81966
Anhui-Residential_PV-204,2060,Residential_PV,Anhui,Solar,6.56255e-06,.,13.8219
Anhui-Wind-1081,2020,Wind,Anhui,Wind,2.92354e-06,.,3.31074
Anhui-Wind-1081,2025,Wind,Anhui,Wind,1.2306e-06,.,1.39358
Anhui-Wind-1081,2030,Wind,Anhui,Wind,2.30444e-06,.,2.55205
Anhui-Wind-1081,2035,Wind,Anhui,Wind,3.6646e-06,.,3.96603
Anhui-Wind-1081,2040,Wind,Anhui,Wind,8.15567e-06,.,8.62225
Anhui-Wind-1081,2045,Wind,Anhui,Wind,1.24782e-05,.,12.8731
Anhui-Wind-1081,2050,Wind,Anhui,Wind,2.96561e-05,.,29.9478
Anhui-Wind-1081,2055,Wind,Anhui,Wind,0.00028365,.,286.44
Anhui-Wind-1081,2060,Wind,Anhui,Wind,8.12506e-05,.,82.0499
Anhui-Wind-1082,2020,Wind,Anhui,Wind,2.92565e-06,.,3.31313
Anhui-Wind-1082,2025,Wind,Anhui,Wind,1.23118e-06,.,1.39424
Anhui-Wind-1082,2030,Wind,Anhui,Wind,2.30578e-06,.,2.55353
