TRANSMISSION_LINE,PERIOD,trans_lz1,trans_lz2,trans_dbid,trans_length_km,trans_efficiency,trans_derating_factor,TxCapacityNameplate,TxCapacityNameplateAvailable,TotalAnnualCost
Jiangsu-Shanghai,2045,Jiangsu,Shanghai,81,270.654,0.983182,1,7500.0000023578405,7500.0000023578405,80294237.41059004
Jiangsu-Shanghai,2050,Jiangsu,Shanghai,81,270.654,0.983182,1,7500.000003920868,7500.000003920868,80294237.42732365
Jiangsu-Shanghai,2055,Jiangsu,Shanghai,81,270.654,0.983182,1,7500.0000061769,7500.0000061769,80294237.4514765
Jiangsu-Shanghai,2060,Jiangsu,Shanghai,81,270.654,0.983182,1,7500.000011067754,7500.000011067754,80294237.50383748
Jiangsu-Zhejiang,2020,Jiangsu,Zhejiang,82,238.01,0.985211,1,2500.000000106666,2500.000000106666,23536608.167502772
Jiangsu-Zhejiang,2025,Jiangsu,Zhejiang,82,238.01,0.985211,1,2500.000000321184,2500.000000321184,23536608.169522382
Jiangsu-Zhejiang,2030,Jiangsu,Zhejiang,82,238.01,0.985211,1,2500.000000915675,2500.000000915675,23536608.175119303
Jiangsu-Zhejiang,2035,Jiangsu,Zhejiang,82,238.01,0.985211,1,2500.0000018842265,2500.0000018842265,23536608.18423787
Jiangsu-Zhejiang,2040,Jiangsu,Zhejiang,82,238.01,0.985211,1,2500.0000035857092,2500.0000035857092,23536608.200256724
Jiangsu-Zhejiang,2045,Jiangsu,Zhejiang,82,238.01,0.985211,1,2500.0000055014007,2500.0000055014007,23536608.218292274
Jiangsu-Zhejiang,2050,Jiangsu,Zhejiang,82,238.01,0.985211,1,2500.0000072590083,2500.0000072590083,23536608.23483952
Jiangsu-Zhejiang,2055,Jiangsu,Zhejiang,82,238.01,0.985211,1,2500.00000917592,2500.00000917592,23536608.25288656
Jiangsu-Zhejiang,2060,Jiangsu,Zhejiang,82,238.01,0.985211,1,2500.0000138816117,2500.0000138816117,23536608.29718897
Zhejiang-Shanghai,2020,Zhejiang,Shanghai,164,165.398,0.989723,1,2500.000000349906,2500.000000349906,16356068.728487827
Zhejiang-Shanghai,2025,Zhejiang,Shanghai,164,165.398,0.989723,1,3176.256653611762,3176.256653611762,20780428.847407814
Zhejiang-Shanghai,2030,Zhejiang,Shanghai,164,165.398,0.989723,1,3176.256654392978,3176.256654392978,20780428.852518864
Zhejiang-Shanghai,2035,Zhejiang,Shanghai,164,165.398,0.989723,1,14102.870997083695,14102.870997083695,92267010.90600552
Zhejiang-Shanghai,2040,Zhejiang,Shanghai,164,165.398,0.989723,1,14102.87100866726,14102.87100866726,92267010.98179016
Zhejiang-Shanghai,2045,Zhejiang,Shanghai,164,165.398,0.989723,1,18232.517186882757,18232.517186882757,119284921.66410056
Zhejiang-Shanghai,2050,Zhejiang,Shanghai,164,165.398,0.989723,1,24128.200698135,24128.200698135,157857003.54328358
Zhejiang-Shanghai,2055,Zhejiang,Shanghai,164,165.398,0.989723,1,24128.20070946707,24128.20070946707,157857003.61742282
Zhejiang-Shanghai,2060,Zhejiang,Shanghai,164,165.398,0.989723,1,24128.20072747049,24128.20072747049,157857003.73520887
Anhui-Jiangsu,2020,Anhui,Jiangsu,3,142.72,0.991132,1,7500.000000146905,7500.000000146905,42340381.29811945
Anhui-Jiangsu,2025,Anhui,Jiangsu,3,142.72,0.991132,1,7500.000000398117,7500.000000398117,42340381.29953764
Anhui-Jiangsu,2030,Anhui,Jiangsu,3,142.72,0.991132,1,7500.000000839517,7500.000000839517,42340381.30202951
Anhui-Jiangsu,2035,Anhui,Jiangsu,3,142.72,0.991132,1,7500.000001885147,7500.000001885147,42340381.307932496
Anhui-Jiangsu,2040,Anhui,Jiangsu,3,142.72,0.991132,1,7500.000017196239,7500.000017196239,42340381.39436949
Anhui-Jiangsu,2045,Anhui,Jiangsu,3,142.72,0.991132,1,26827.952748187752,26827.952748187752,151454099.83786023
Anhui-Jiangsu,2050,Anhui,Jiangsu,3,142.72,0.991132,1,49620.11169455173,49620.11169455173,280124593.2215259
Anhui-Jiangsu,2055,Anhui,Jiangsu,3,142.72,0.991132,1,54873.49525672902,54873.49525672902,309781961.6379929
Anhui-Jiangsu,2060,Anhui,Jiangsu,3,142.72,0.991132,1,54873.49526557071,54873.49526557071,309781961.6879077
Sichuan-Shanghai-FuFeng,2020,Sichuan,Shanghai,901,1907.0,0.85,1,6400.0,6400.0,482768951.4734364
Sichuan-Shanghai-FuFeng,2025,Sichuan,Shanghai,901,1907.0,0.85,1,6400.0,6400.0,482768951.4734364
Sichuan-Shanghai-FuFeng,2030,Sichuan,Shanghai,901,1907.0,0.85,1,6400.0,6400.0,482768951.4734364
Sichuan-Shanghai-FuFeng,2035,Sichuan,Shanghai,901,1907.0,0.85,1,6400.0,6400.0,482768951.4734364
Sichuan-Shanghai-FuFeng,2040,Sichuan,Shanghai,901,1907.0,0.85,1,6400.0,6400.0,482768951.4734364
Sichuan-Shanghai-FuFeng,2045,Sichuan,Shanghai,901,1907.0,0.85,1,6400.0,6400.0,482768951.4734364
Sichuan-Shanghai-FuFeng,2050,Sichuan,Shanghai,901,1907.0,0.85,1,6400.0,6400.0,482768951.4734364
Sichuan-Shanghai-FuFeng,2055,Sichuan,Shanghai,901,1907.0,0.85,1,6400.0,6400.0,482768951.4734364
Sichuan-Shanghai-FuFeng,2060,Sichuan,Shanghai,901,1907.0,0.85,1,6400.0,6400.0,482768951.4734364
Sichuan-Jiangsu-JinSu,2020,Sichuan,Jiangsu,902,2090.0,0.84,1,7200.0,7200.0,595233611.511231
Sichuan-Jiangsu-JinSu,2025,Sichuan,Jiangsu,902,2090.0,0.84,1,7200.0,7200.0,595233611.511231
Sichuan-Jiangsu-JinSu,2030,Sichuan,Jiangsu,902,2090.0,0.84,1,7200.0,7200.0,595233611.511231
Sichuan-Jiangsu-JinSu,2035,Sichuan,Jiangsu,902,2090.0,0.84,1,7200.0,7200.0,595233611.511231
Sichuan-Jiangsu-JinSu,2040,Sichuan,Jiangsu,902,2090.0,0.84,1,7200.0,7200.0,595233611.511231
Sichuan-Jiangsu-JinSu,2045,Sichuan,Jiangsu,902,2090.0,0.84,1,7200.0,7200.0,595233611.511231
Sichuan-Jiangsu-JinSu,2050,Sichuan,Jiangsu,902,2090.0,0.84,1,7200.0,7200.0,595233611.511231
Sichuan-Jiangsu-JinSu,2055,Sichuan,Jiangsu,902,2090.0,0.84,1,7200.0,7200.0,595233611.511231
Sichuan-Jiangsu-JinSu,2060,Sichuan,Jiangsu,902,2090.0,0.84,1,7200.0,7200.0,595233611.511231
Sichuan-Zhejiang-BinJin,2020,Sichuan,Zhejiang,903,1680.0,0.86,1,8000.0,8000.0,531628105.97494316
Sichuan-Zhejiang-BinJin,2025,Sichuan,Zhejiang,903,1680.0,0.86,1,8000.0,8000.0,531628105.97494316
Sichuan-Zhejiang-BinJin,2030,Sichuan,Zhejiang,903,1680.0,0.86,1,8000.0,8000.0,531628105.97494316
Sichuan-Zhejiang-BinJin,2035,Sichuan,Zhejiang,903,1680.0,0.86,1,8000.0,8000.0,531628105.97494316
Sichuan-Zhejiang-BinJin,2040,Sichuan,Zhejiang,903,1680.0,0.86,1,8000.0,8000.0,531628105.97494316
Sichuan-Zhejiang-BinJin,2045,Sichuan,Zhejiang,903,1680.0,0.86,1,8000.0,8000.0,531628105.97494316
Sichuan-Zhejiang-BinJin,2050,Sichuan,Zhejiang,903,1680.0,0.86,1,8000.0,8000.0,531628105.97494316
Sichuan-Zhejiang-BinJin,2055,Sichuan,Zhejiang,903,1680.0,0.86,1,8000.0,8000.0,531628105.97494316
Sichuan-Zhejiang-BinJin,2060,Sichuan,Zhejiang,903,1680.0,0.86,1,8000.0,8000.0,531628105.97494316
