GENERATION_PROJECT,gen_loading_level,gen_heat_rate_at_loading_level
Shanghai-Coal_600_SEA-11931,0.4,9.08375
Shanghai-Coal_600_SEA-11931,1.0,8.45
Shanghai-Coal_IGCC_RC-11925,0.4,12.75715
Shanghai-Coal_IGCC_RC-11925,1.0,8.89
Shanghai-Gas_CCGT_OT-11917,0.45,8.88978
Shanghai-Gas_CCGT_OT-11917,1.0,6.47
Shanghai-Gas_CCGT_RC-11927,0.45,9.64548
Shanghai-Gas_CCGT_RC-11927,1.0,7.02
Shanghai-Gas_CCGT_SEA-11935,0.45,8.88978
Shanghai-Gas_CCGT_SEA-11935,1.0,6.47
Shanghai-Gas_Combustion_Turbine_RC-13158,0.4,11.03368
Shanghai-Gas_Combustion_Turbine_RC-13158,1.0,9.76
Sichuan-Coal_1000_RC-12687,0.4,8.471
Sichuan-Coal_1000_RC-12687,1.0,7.88
Sichuan-Coal_1000_RC-12697,0.4,8.471
Sichuan-Coal_1000_RC-12697,1.0,7.88
Sichuan-Coal_1000_RC-12707,0.4,8.471
Sichuan-Coal_1000_RC-12707,1.0,7.88
Sichuan-Coal_1000_RC-12717,0.4,8.471
Sichuan-Coal_1000_RC-12717,1.0,7.88
Sichuan-Coal_300_RC-12691,0.4,9.589
Sichuan-Coal_300_RC-12691,1.0,8.92
Sichuan-Coal_300_RC-12701,0.4,9.589
Sichuan-Coal_300_RC-12701,1.0,8.92
Sichuan-Coal_300_RC-12711,0.4,9.589
Sichuan-Coal_300_RC-12711,1.0,8.92
Sichuan-Coal_300_RC-12721,0.4,9.589
Sichuan-Coal_300_RC-12721,1.0,8.92
Sichuan-Coal_600_RC-12689,0.4,9.08375
Sichuan-Coal_600_RC-12689,1.0,8.45
Sichuan-Coal_600_RC-12699,0.4,9.08375
Sichuan-Coal_600_RC-12699,1.0,8.45
Sichuan-Coal_600_RC-12709,0.4,9.08375
Sichuan-Coal_600_RC-12709,1.0,8.45
Sichuan-Coal_600_RC-12719,0.4,9.08375
Sichuan-Coal_600_RC-12719,1.0,8.45
Sichuan-Coal_IGCC_RC-12693,0.4,12.75715
Sichuan-Coal_IGCC_RC-12693,1.0,8.89
Sichuan-Coal_IGCC_RC-12703,0.4,12.75715
Sichuan-Coal_IGCC_RC-12703,1.0,8.89
Sichuan-Coal_IGCC_RC-12713,0.4,12.75715
Sichuan-Coal_IGCC_RC-12713,1.0,8.89
Sichuan-Coal_IGCC_RC-12723,0.4,12.75715
Sichuan-Coal_IGCC_RC-12723,1.0,8.89
