GENERATION_PROJECT,build_year,gen_overnight_cost,gen_fixed_om,gen_storage_energy_overnight_cost
Jiangsu-EP_Coal_600_OT-ep-877,2005,512262,9400,.
Jiangsu-EP_Coal_600_OT-ep-878,2007,512262,9400,.
Jiangsu-EP_Coal_600_OT-ep-879,2006,512262,9400,.
Jiangsu-EP_Coal_600_OT-ep-880,2005,512262,9400,.
Jiangsu-EP_Coal_600_OT-ep-881,2005,512262,9400,.
Jiangsu-EP_Coal_600_OT-ep-882,1999,512262,9400,.
Jiangsu-EP_Coal_600_OT-ep-883,1998,512262,9400,.
Jiangsu-EP_Coal_600_OT-ep-884,2005,512262,9400,.
Jiangsu-EP_Coal_600_OT-ep-885,2006,512262,9400,.
Jiangsu-EP_Coal_600_OT-ep-886,2006,512262,9400,.
Jiangsu-EP_Coal_600_OT-ep-887,2006,512262,9400,.
Jiangsu-EP_Coal_600_OT-ep-888,2006,512262,9400,.
Jiangsu-EP_Coal_600_OT-ep-889,2006,512262,9400,.
Jiangsu-EP_Coal_600_OT-ep-895,2006,512262,9400,.
Jiangsu-EP_Coal_600_OT-ep-896,2006,512262,9400,.
Jiangsu-EP_Coal_600_OT-ep-897,2008,512262,9400,.
Jiangsu-EP_Coal_600_OT-ep-898,2007,512262,9400,.
Jiangsu-EP_Coal_600_OT-ep-899,2006,512262,9400,.
Jiangsu-EP_Coal_600_OT-ep-900,2006,512262,9400,.
Jiangsu-EP_Coal_600_RC-ep-873,2011,572986,10514,.
Jiangsu-EP_Coal_600_RC-ep-874,2009,572986,10514,.
Jiangsu-EP_Coal_600_RC-ep-891,2008,572986,10514,.
Jiangsu-EP_Coal_600_RC-ep-892,2007,572986,10514,.
Jiangsu-EP_Coal_600_RC-ep-893,2012,572986,10514,.
Jiangsu-EP_Coal_600_RC-ep-894,2010,572986,10514,.
Jiangsu-EP_Coal_600_SEA-ep-3078,2016,512262,9400,.
Jiangsu-EP_Coal_600_SEA-ep-861,2013,512262,9400,.
Jiangsu-EP_Coal_600_SEA-ep-862,2011,512262,9400,.
Jiangsu-EP_Coal_600_SEA-ep-865,2010,512262,9400,.
Jiangsu-EP_Coal_600_SEA-ep-866,2010,512262,9400,.
Jiangsu-EP_Coal_600_SEA-ep-867,2010,512262,9400,.
Jiangsu-EP_Coal_600_SEA-ep-868,2010,512262,9400,.
Jiangsu-EP_Gas_CCGT_OT-ep-912,2005,665600,12800,.
Jiangsu-EP_Gas_CCGT_OT-ep-913,2005,665600,12800,.
Jiangsu-EP_Gas_CCGT_RC-ep-1015,1990,665600,12800,.
Jiangsu-EP_Gas_CCGT_RC-ep-3079,2018,665600,12800,.
Jiangsu-EP_Gas_CCGT_RC-ep-3080,2018,665600,12800,.
Jiangsu-EP_Gas_CCGT_RC-ep-3081,2016,665600,12800,.
Jiangsu-EP_Gas_CCGT_RC-ep-3082,2016,665600,12800,.
Jiangsu-EP_Gas_CCGT_RC-ep-3083,2016,665600,12800,.
Jiangsu-EP_Gas_CCGT_RC-ep-3084,2016,665600,12800,.
Jiangsu-EP_Gas_CCGT_RC-ep-901,2015,665600,12800,.
Jiangsu-EP_Gas_CCGT_RC-ep-902,2015,665600,12800,.
Jiangsu-EP_Gas_CCGT_RC-ep-903,2015,665600,12800,.
Jiangsu-EP_Gas_CCGT_RC-ep-904,2015,665600,12800,.
Jiangsu-EP_Gas_CCGT_RC-ep-906,2007,665600,12800,.
Jiangsu-EP_Gas_CCGT_RC-ep-907,2006,665600,12800,.
Jiangsu-EP_Gas_CCGT_RC-ep-908,2005,665600,12800,.
Jiangsu-EP_Gas_CCGT_RC-ep-909,2005,665600,12800,.
Jiangsu-EP_Gas_CCGT_RC-ep-910,2006,665600,12800,.
Jiangsu-EP_Gas_CCGT_RC-ep-911,2005,665600,12800,.
Jiangsu-EP_Gas_CCGT_RC-ep-971,2012,665600,12800,.
Jiangsu-EP_Gas_CCGT_RC-ep-972,2012,665600,12800,.
Jiangsu-EP_Gas_CCGT_RC-ep-973,2012,665600,12800,.
Jiangsu-EP_Gas_CCGT_RC-ep-975,2011,665600,12800,.
Jiangsu-EP_Gas_CCGT_RC-ep-976,2011,665600,12800,.
Jiangsu-EP_Gas_CCGT_RC-ep-977,2013,665600,12800,.
Jiangsu-EP_Gas_CCGT_RC-ep-978,2012,665600,12800,.
Jiangsu-EP_Gas_CCGT_RC-ep-979,2004,665600,12800,.
Jiangsu-EP_Gas_CCGT_RC-ep-980,2012,665600,12800,.
Jiangsu-EP_Gas_CCGT_RC-ep-981,2012,665600,12800,.
Jiangsu-EP_Gas_CCGT_RC-ep-982,2013,665600,12800,.
Jiangsu-EP_Gas_CCGT_RC-ep-983,2013,665600,12800,.
Jiangsu-EP_Gas_CCGT_RC-ep-984,2013,665600,12800,.
Jiangsu-EP_Gas_CCGT_RC-ep-985,2013,665600,12800,.
Jiangsu-EP_Gas_CCGT_RC-ep-986,2013,665600,12800,.
Jiangsu-EP_Gas_CCGT_RC-ep-987,2013,665600,12800,.
Jiangsu-EP_Gas_CCGT_RC-ep-988,2005,665600,12800,.
Jiangsu-EP_Gas_CCGT_RC-ep-989,2005,665600,12800,.
Jiangsu-EP_Gas_CCGT_RC-ep-990,2015,665600,12800,.
Jiangsu-EP_Gas_CCGT_RC-ep-991,2015,665600,12800,.
Jiangsu-Hydro_NonPumped-ep-30016,1981,1342278,3300,.
Jiangsu-Hydro_NonPumped-ep-30047,1982,1342278,3300,.
Jiangsu-Hydro_NonPumped-ep-30078,1983,1342278,3300,.
Jiangsu-Hydro_NonPumped-ep-30109,1984,1342278,3300,.
Jiangsu-Hydro_NonPumped-ep-30140,1985,1342278,3300,.
Jiangsu-Hydro_NonPumped-ep-30171,1986,1342278,3300,.
Jiangsu-Hydro_NonPumped-ep-30202,1987,1342278,3300,.
Jiangsu-Hydro_NonPumped-ep-30233,1988,1342278,3300,.
Jiangsu-Hydro_NonPumped-ep-30264,1989,1342278,3300,.
Jiangsu-Hydro_NonPumped-ep-30295,1990,1342278,3300,.
Jiangsu-Hydro_NonPumped-ep-30326,1991,1342278,3300,.
Jiangsu-Hydro_NonPumped-ep-30357,1992,1342278,3300,.
Jiangsu-Hydro_NonPumped-ep-30388,1993,1342278,3300,.
Jiangsu-Hydro_NonPumped-ep-30419,1994,1342278,3300,.
Jiangsu-Hydro_NonPumped-ep-30450,1995,1342278,3300,.
Jiangsu-Hydro_NonPumped-ep-30481,1996,1342278,3300,.
Jiangsu-Hydro_NonPumped-ep-30512,1997,1342278,3300,.
Jiangsu-Hydro_NonPumped-ep-30543,1998,1342278,3300,.
Jiangsu-Hydro_NonPumped-ep-30616,2001,1342278,3300,.
Jiangsu-Hydro_NonPumped-ep-30639,2002,1342278,3300,.
Jiangsu-Hydro_NonPumped-ep-30662,2003,1342278,3300,.
Jiangsu-Hydro_NonPumped-ep-30733,2005,1342278,3300,.
Jiangsu-Hydro_NonPumped-ep-30824,2008,1342278,3300,.
Jiangsu-Hydro_NonPumped-ep-30896,2014,1342278,3300,.
Jiangsu-Hydro_NonPumped-ep-30907,2015,1342278,3300,.
Jiangsu-Hydro_NonPumped-ep-30928,2016,1342278,3300,.
Jiangsu-Hydro_NonPumped-ep-30957,2017,1342278,3300,.
Jiangsu-Hydro_Pumped-ep-35005,2010,1098228,2700,0
Jiangsu-Hydro_Pumped-ep-35022,2002,1098228,2700,0
Jiangsu-Hydro_Pumped-ep-35028,2008,1098228,2700,0
Jiangsu-Hydro_Pumped-ep-35037,2020,1098228,2700,0
Jiangsu-Nuclear_EP_SEA-ep-3085,2020,2378486,60000,.
Jiangsu-Nuclear_EP_SEA-ep-3086,2020,2378486,60000,.
Jiangsu-Nuclear_EP_SEA-ep-60012,2007,2378486,40000,.
Jiangsu-Nuclear_EP_SEA-ep-60013,2007,2378486,40000,.
Jiangsu-Wind_EP-ep-40015,2007,1204800,12000,.
Jiangsu-Wind_EP-ep-40031,2008,1204800,12000,.
Jiangsu-Wind_EP-ep-40053,2009,1204800,12000,.
Jiangsu-Wind_EP-ep-40089,2012,1204800,12000,.
Jiangsu-Wind_EP-ep-40116,2013,1204800,12000,.
Jiangsu-Wind_EP-ep-40143,2014,1204800,12000,.
Jiangsu-Wind_EP-ep-40172,2015,1204800,12000,.
Jiangsu-Wind_EP-ep-40200,2016,1204800,12000,.
Jiangsu-Wind_EP-ep-40227,2017,1204800,12000,.
Jiangsu-Wind_EP-ep-40249,2010,1204800,12000,.
Jiangsu-Wind_EP-ep-40270,2011,1204800,12000,.
Shanghai-Central_PV_EP-ep-50003,2016,1439448,28789,.
Shanghai-Central_PV_EP-ep-50005,2011,1439448,28789,.
Shanghai-Central_PV_EP-ep-50044,2013,1439448,28789,.
Shanghai-Central_PV_EP-ep-50074,2014,1439448,28789,.
Shanghai-Central_PV_EP-ep-50103,2015,1439448,28789,.
Shanghai-Central_PV_EP-ep-50164,2017,1439448,28789,.
Shanghai-Coal_100_SEA-ep-835,2008,805257,15486,.
Shanghai-Coal_100_SEA-ep-836,2002,805257,15486,.
Shanghai-Coal_Small_OT-ep-827,1990,774286,15486,.
Shanghai-Coal_Small_RC-ep-834,1990,774286,15486,.
Shanghai-Coal_Small_SEA-ep-828,1990,805257,15486,.
Shanghai-EP_Coal_1000_OT-ep-789,2008,582329,10686,.
Shanghai-EP_Coal_1000_OT-ep-790,2008,582329,10686,.
Shanghai-EP_Coal_1000_OT-ep-791,2004,582329,10686,.
Shanghai-EP_Coal_1000_OT-ep-792,2004,582329,10686,.
Shanghai-EP_Coal_1000_SEA-ep-787,2010,582329,10686,.
Shanghai-EP_Coal_1000_SEA-ep-788,2010,582329,10686,.
Shanghai-EP_Coal_300_OT-ep-809,2008,628457,12086,.
Shanghai-EP_Coal_300_OT-ep-810,1999,628457,12086,.
Shanghai-EP_Coal_300_OT-ep-811,1983,628457,12086,.
Shanghai-EP_Coal_300_OT-ep-812,1982,628457,12086,.
Shanghai-EP_Coal_300_OT-ep-815,1989,628457,12086,.
Shanghai-EP_Coal_300_OT-ep-816,1989,628457,12086,.
Shanghai-EP_Coal_300_OT-ep-817,1988,628457,12086,.
Shanghai-EP_Coal_300_OT-ep-818,1987,628457,12086,.
Shanghai-EP_Coal_300_OT-ep-819,1997,628457,12086,.
Shanghai-EP_Coal_300_OT-ep-820,1996,628457,12086,.
Shanghai-EP_Coal_300_OT-ep-821,1995,628457,12086,.
Shanghai-EP_Coal_300_OT-ep-822,1995,628457,12086,.
Shanghai-EP_Coal_300_OT-ep-823,2010,628457,12086,.
Shanghai-EP_Coal_300_OT-ep-824,2010,628457,12086,.
Shanghai-EP_Coal_300_OT-ep-825,1992,628457,12086,.
Shanghai-EP_Coal_300_OT-ep-826,1991,628457,12086,.
Shanghai-EP_Coal_600_OT-ep-793,2009,512262,9400,.
Shanghai-EP_Coal_600_OT-ep-794,2009,512262,9400,.
Shanghai-EP_Coal_600_OT-ep-797,1992,512262,9400,.
Shanghai-EP_Coal_600_OT-ep-798,1992,512262,9400,.
Shanghai-EP_Coal_600_RC-ep-795,2001,572986,10514,.
Shanghai-EP_Coal_600_RC-ep-796,2000,572986,10514,.
Shanghai-EP_Gas_CCGT_OT-ep-806,2006,665600,12800,.
Shanghai-EP_Gas_CCGT_OT-ep-807,2006,665600,12800,.
Shanghai-EP_Gas_CCGT_OT-ep-808,2006,665600,12800,.
Shanghai-EP_Gas_CCGT_RC-ep-3066,2016,665600,12800,.
Shanghai-EP_Gas_CCGT_RC-ep-799,2015,665600,12800,.
Shanghai-EP_Gas_CCGT_RC-ep-800,2015,665600,12800,.
Shanghai-EP_Gas_CCGT_RC-ep-803,2015,665600,12800,.
Shanghai-EP_Gas_CCGT_RC-ep-829,2006,665600,12800,.
Shanghai-EP_Gas_CCGT_RC-ep-830,2006,665600,12800,.
Shanghai-EP_Gas_CCGT_RC-ep-831,2006,665600,12800,.
Shanghai-EP_Gas_CCGT_RC-ep-832,2006,665600,12800,.
Shanghai-EP_Gas_CCGT_RC-ep-833,2015,665600,12800,.
Shanghai-EP_Gas_CCGT_RC-ep-837,2015,665600,12800,.
Shanghai-EP_Gas_CCGT_RC-ep-838,1990,665600,12800,.
Shanghai-EP_Gas_CCGT_SEA-ep-801,2012,665600,12800,.
Shanghai-EP_Gas_CCGT_SEA-ep-802,2011,665600,12800,.
Shanghai-EP_Gas_CCGT_SEA-ep-804,2011,665600,12800,.
Shanghai-EP_Gas_CCGT_SEA-ep-805,2011,665600,12800,.
Shanghai-EP_Gas_CCGT_SEA-ep-813,2005,665600,12800,.
Shanghai-EP_Gas_CCGT_SEA-ep-814,2005,665600,12800,.
Shanghai-Wind_EP-ep-40003,2016,1204800,12000,.
Shanghai-Wind_EP-ep-40020,2007,1204800,12000,.
Shanghai-Wind_EP-ep-40037,2008,1204800,12000,.
Shanghai-Wind_EP-ep-40070,2011,1204800,12000,.
Shanghai-Wind_EP-ep-40096,2012,1204800,12000,.
Shanghai-Wind_EP-ep-40124,2013,1204800,12000,.
Shanghai-Wind_EP-ep-40151,2014,1204800,12000,.
Shanghai-Wind_EP-ep-40179,2015,1204800,12000,.
Shanghai-Wind_EP-ep-40255,2010,1204800,12000,.
Sichuan-Central_PV_EP-ep-50046,2013,1439448,28789,.
Sichuan-Central_PV_EP-ep-50076,2014,1439448,28789,.
Sichuan-Central_PV_EP-ep-50105,2015,1439448,28789,.
Sichuan-Central_PV_EP-ep-50136,2016,1439448,28789,.
Sichuan-Central_PV_EP-ep-50166,2017,1439448,28789,.
Sichuan-Coal_100_RC-ep-2130,2005,805257,15486,.
Sichuan-Coal_100_RC-ep-2131,2005,805257,15486,.
Sichuan-Coal_100_RC-ep-2132,2007,805257,15486,.
Sichuan-Coal_100_RC-ep-2133,2006,805257,15486,.
Sichuan-Coal_100_RC-ep-2134,1996,805257,15486,.
Sichuan-Coal_100_RC-ep-2135,1993,805257,15486,.
Sichuan-Coal_100_RC-ep-2136,1993,805257,15486,.
Sichuan-Coal_100_RC-ep-2137,1996,805257,15486,.
Sichuan-Coal_100_RC-ep-2138,1993,805257,15486,.
Sichuan-Coal_100_RC-ep-2139,1993,805257,15486,.
Sichuan-Coal_100_RC-ep-2140,1996,805257,15486,.
Sichuan-Coal_Small_RC-ep-2102,1990,774286,15486,.
Sichuan-Coal_Small_RC-ep-2129,1990,774286,15486,.
Sichuan-Coal_Small_RC-ep-2141,1990,774286,15486,.
Sichuan-Coal_Small_RC-ep-2142,1990,774286,15486,.
Sichuan-EP_Coal_300_RC-ep-2116,1991,628457,12086,.
Sichuan-EP_Coal_300_RC-ep-2117,1990,628457,12086,.
Sichuan-EP_Coal_300_RC-ep-2118,2006,628457,12086,.
Sichuan-EP_Coal_300_RC-ep-2119,2004,628457,12086,.
Sichuan-EP_Coal_300_RC-ep-2120,2004,628457,12086,.
Sichuan-EP_Coal_300_RC-ep-2121,2000,628457,12086,.
Sichuan-EP_Coal_300_RC-ep-2122,1999,628457,12086,.
Sichuan-EP_Coal_300_RC-ep-2123,2008,628457,12086,.
Sichuan-EP_Coal_300_RC-ep-2124,2007,628457,12086,.
Sichuan-EP_Coal_300_RC-ep-2125,2006,628457,12086,.
Sichuan-EP_Coal_300_RC-ep-2126,2006,628457,12086,.
Sichuan-EP_Coal_300_RC-ep-2127,2006,628457,12086,.
Sichuan-EP_Coal_300_RC-ep-2128,2005,628457,12086,.
Sichuan-EP_Coal_300_RC-ep-3178,2017,628457,12086,.
Sichuan-EP_Coal_600_RC-ep-2103,2007,572986,10514,.
Sichuan-EP_Coal_600_RC-ep-2104,2007,572986,10514,.
Sichuan-EP_Coal_600_RC-ep-2105,2013,572986,10514,.
Sichuan-EP_Coal_600_RC-ep-2106,2007,572986,10514,.
Sichuan-EP_Coal_600_RC-ep-2107,2007,572986,10514,.
Sichuan-EP_Coal_600_RC-ep-2108,2011,572986,10514,.
Sichuan-EP_Coal_600_RC-ep-2109,2011,572986,10514,.
Sichuan-EP_Coal_600_RC-ep-2110,2008,572986,10514,.
Sichuan-EP_Coal_600_RC-ep-2111,2007,572986,10514,.
Sichuan-EP_Coal_600_RC-ep-2112,2012,572986,10514,.
Sichuan-EP_Coal_600_RC-ep-2113,2011,572986,10514,.
Sichuan-EP_Gas_CCGT_RC-ep-2114,2015,665600,12800,.
Sichuan-EP_Gas_CCGT_RC-ep-2115,2015,665600,12800,.
Sichuan-EP_Gas_CCGT_RC-ep-2144,1990,665600,12800,.
Sichuan-Hydro_NonPumped-ep-30025,1981,1342278,3300,.
Sichuan-Hydro_NonPumped-ep-30056,1982,1342278,3300,.
Sichuan-Hydro_NonPumped-ep-30087,1983,1342278,3300,.
Sichuan-Hydro_NonPumped-ep-30118,1984,1342278,3300,.
Sichuan-Hydro_NonPumped-ep-30149,1985,1342278,3300,.
Sichuan-Hydro_NonPumped-ep-30180,1986,1342278,3300,.
Sichuan-Hydro_NonPumped-ep-30211,1987,1342278,3300,.
Sichuan-Hydro_NonPumped-ep-30242,1988,1342278,3300,.
Sichuan-Hydro_NonPumped-ep-30273,1989,1342278,3300,.
Sichuan-Hydro_NonPumped-ep-30304,1990,1342278,3300,.
Sichuan-Hydro_NonPumped-ep-30335,1991,1342278,3300,.
Sichuan-Hydro_NonPumped-ep-30366,1992,1342278,3300,.
Sichuan-Hydro_NonPumped-ep-30397,1993,1342278,3300,.
Sichuan-Hydro_NonPumped-ep-30428,1994,1342278,3300,.
Sichuan-Hydro_NonPumped-ep-30459,1995,1342278,3300,.
Sichuan-Hydro_NonPumped-ep-30490,1996,1342278,3300,.
Sichuan-Hydro_NonPumped-ep-30521,1997,1342278,3300,.
Sichuan-Hydro_NonPumped-ep-30552,1998,1342278,3300,.
Sichuan-Hydro_NonPumped-ep-30577,1999,1342278,3300,.
Sichuan-Hydro_NonPumped-ep-30600,2000,1342278,3300,.
Sichuan-Hydro_NonPumped-ep-30622,2001,1342278,3300,.
Sichuan-Hydro_NonPumped-ep-30645,2002,1342278,3300,.
Sichuan-Hydro_NonPumped-ep-30668,2003,1342278,3300,.
Sichuan-Hydro_NonPumped-ep-30690,2004,1342278,3300,.
Sichuan-Hydro_NonPumped-ep-30707,2009,1342278,3300,.
Sichuan-Hydro_NonPumped-ep-30713,2014,1342278,3300,.
Sichuan-Hydro_NonPumped-ep-30740,2005,1342278,3300,.
Sichuan-Hydro_NonPumped-ep-30763,2006,1342278,3300,.
Sichuan-Hydro_NonPumped-ep-30786,2007,1342278,3300,.
Sichuan-Hydro_NonPumped-ep-30808,2008,1342278,3300,.
Sichuan-Hydro_NonPumped-ep-30852,2010,1342278,3300,.
Sichuan-Hydro_NonPumped-ep-30862,2011,1342278,3300,.
Sichuan-Hydro_NonPumped-ep-30877,2012,1342278,3300,.
Sichuan-Hydro_NonPumped-ep-30892,2013,1342278,3300,.
Sichuan-Hydro_NonPumped-ep-30911,2015,1342278,3300,.
Sichuan-Hydro_NonPumped-ep-30944,2016,1342278,3300,.
Sichuan-Hydro_NonPumped-ep-30964,2017,1342278,3300,.
Sichuan-Hydro_NonPumped-ep-31025,2020,1342278,3300,.
Sichuan-Hydro_NonPumped-ep-31026,2020,1342278,3300,.
Sichuan-Hydro_NonPumped-ep-31039,2016,1342278,3300,.
Sichuan-Hydro_Pumped-ep-35013,1992,1098228,2700,0
Sichuan-Wind_EP-ep-40072,2011,1204800,12000,.
Sichuan-Wind_EP-ep-40126,2013,1204800,12000,.
Sichuan-Wind_EP-ep-40153,2014,1204800,12000,.
Sichuan-Wind_EP-ep-40181,2015,1204800,12000,.
Sichuan-Wind_EP-ep-40209,2016,1204800,12000,.
Sichuan-Wind_EP-ep-40234,2017,1204800,12000,.
Zhejiang-Central_PV_EP-ep-50011,2011,1439448,28789,.
Zhejiang-Central_PV_EP-ep-50025,2012,1439448,28789,.
Zhejiang-Central_PV_EP-ep-50052,2013,1439448,28789,.
Zhejiang-Central_PV_EP-ep-50082,2014,1439448,28789,.
Zhejiang-Central_PV_EP-ep-50111,2015,1439448,28789,.
Zhejiang-Central_PV_EP-ep-50142,2016,1439448,28789,.
Zhejiang-Central_PV_EP-ep-50171,2017,1439448,28789,.
Zhejiang-Coal_100_OT-ep-1111,1990,805257,15486,.
Zhejiang-Coal_100_OT-ep-1112,1989,805257,15486,.
Zhejiang-Coal_100_OT-ep-1113,1986,805257,15486,.
Zhejiang-Coal_100_OT-ep-1114,1985,805257,15486,.
Zhejiang-Coal_100_OT-ep-1131,1988,805257,15486,.
Zhejiang-Coal_100_OT-ep-1132,1987,805257,15486,.
Zhejiang-Coal_100_OT-ep-1133,1985,805257,15486,.
Zhejiang-Coal_100_OT-ep-1134,1985,805257,15486,.
Zhejiang-Coal_100_OT-ep-1135,1983,805257,15486,.
Zhejiang-Coal_100_OT-ep-1136,1982,805257,15486,.
Zhejiang-Coal_100_RC-ep-1124,1996,805257,15486,.
Zhejiang-Coal_100_RC-ep-1125,2006,805257,15486,.
Zhejiang-Coal_100_RC-ep-1127,1984,805257,15486,.
Zhejiang-Coal_100_RC-ep-1128,1994,805257,15486,.
Zhejiang-Coal_100_RC-ep-1129,1993,805257,15486,.
Zhejiang-Coal_100_SEA-ep-1120,2006,805257,15486,.
Zhejiang-Coal_100_SEA-ep-1121,2005,805257,15486,.
Zhejiang-Coal_100_SEA-ep-1122,2004,805257,15486,.
Zhejiang-Coal_100_SEA-ep-1126,2004,805257,15486,.
Zhejiang-Coal_100_SEA-ep-1130,1997,805257,15486,.
Zhejiang-Coal_Small_OT-ep-1123,1990,774286,15486,.
Zhejiang-Coal_Small_OT-ep-1146,1990,774286,15486,.
Zhejiang-Coal_Small_RC-ep-1018,1990,774286,15486,.
Zhejiang-Coal_Small_RC-ep-1036,1990,774286,15486,.
Zhejiang-Coal_Small_RC-ep-1037,1990,774286,15486,.
Zhejiang-Coal_Small_RC-ep-1137,1990,774286,15486,.
Zhejiang-Coal_Small_SEA-ep-1117,1990,805257,15486,.
Zhejiang-EP_Coal_1000_RC-ep-1022,2009,582329,10686,.
Zhejiang-EP_Coal_1000_RC-ep-1023,2009,582329,10686,.
Zhejiang-EP_Coal_1000_SEA-ep-1020,2011,582329,10686,.
Zhejiang-EP_Coal_1000_SEA-ep-1021,2011,582329,10686,.
Zhejiang-EP_Coal_1000_SEA-ep-1024,2009,582329,10686,.
Zhejiang-EP_Coal_1000_SEA-ep-1025,2008,582329,10686,.
Zhejiang-EP_Coal_1000_SEA-ep-1026,2015,582329,10686,.
Zhejiang-EP_Coal_1000_SEA-ep-1027,2015,582329,10686,.
Zhejiang-EP_Coal_1000_SEA-ep-1028,2014,582329,10686,.
Zhejiang-EP_Coal_1000_SEA-ep-1029,2014,582329,10686,.
Zhejiang-EP_Coal_1000_SEA-ep-1030,2007,582329,10686,.
Zhejiang-EP_Coal_1000_SEA-ep-1031,2007,582329,10686,.
Zhejiang-EP_Coal_1000_SEA-ep-1032,2006,582329,10686,.
Zhejiang-EP_Coal_1000_SEA-ep-1033,2006,582329,10686,.
Zhejiang-EP_Coal_1000_SEA-ep-1034,2014,582329,10686,.
Zhejiang-EP_Coal_1000_SEA-ep-1035,2014,582329,10686,.
Zhejiang-EP_Coal_1000_SEA-ep-3087,2016,582329,10686,.
Zhejiang-EP_Coal_1000_SEA-ep-3088,2016,582329,10686,.
Zhejiang-EP_Coal_300_OT-ep-1091,1997,628457,12086,.
Zhejiang-EP_Coal_300_OT-ep-1092,1997,628457,12086,.
Zhejiang-EP_Coal_300_OT-ep-1104,2007,628457,12086,.
Zhejiang-EP_Coal_300_OT-ep-1105,2008,628457,12086,.
Zhejiang-EP_Coal_300_RC-ep-1089,1995,628457,12086,.
Zhejiang-EP_Coal_300_RC-ep-1090,1995,628457,12086,.
Zhejiang-EP_Coal_300_RC-ep-1097,2006,628457,12086,.
Zhejiang-EP_Coal_300_RC-ep-1098,2005,628457,12086,.
Zhejiang-EP_Coal_300_RC-ep-1099,2003,628457,12086,.
Zhejiang-EP_Coal_300_RC-ep-1100,2002,628457,12086,.
Zhejiang-EP_Coal_300_RC-ep-1101,2011,628457,12086,.
Zhejiang-EP_Coal_300_RC-ep-1102,2011,628457,12086,.
Zhejiang-EP_Coal_300_SEA-ep-1086,2014,628457,12086,.
Zhejiang-EP_Coal_300_SEA-ep-1093,2001,628457,12086,.
Zhejiang-EP_Coal_300_SEA-ep-1094,2001,628457,12086,.
Zhejiang-EP_Coal_300_SEA-ep-1095,2005,628457,12086,.
Zhejiang-EP_Coal_300_SEA-ep-1103,2010,628457,12086,.
Zhejiang-EP_Coal_300_SEA-ep-1107,2005,628457,12086,.
Zhejiang-EP_Coal_600_RC-ep-1038,2014,572986,10514,.
Zhejiang-EP_Coal_600_RC-ep-1039,2014,572986,10514,.
Zhejiang-EP_Coal_600_RC-ep-1048,2007,572986,10514,.
Zhejiang-EP_Coal_600_RC-ep-1049,2006,572986,10514,.
Zhejiang-EP_Coal_600_RC-ep-1050,2006,572986,10514,.
Zhejiang-EP_Coal_600_RC-ep-1051,2006,572986,10514,.
Zhejiang-EP_Coal_600_SEA-ep-1040,2015,512262,9400,.
Zhejiang-EP_Coal_600_SEA-ep-1041,2015,512262,9400,.
Zhejiang-EP_Coal_600_SEA-ep-1042,2010,512262,9400,.
Zhejiang-EP_Coal_600_SEA-ep-1043,2010,512262,9400,.
Zhejiang-EP_Coal_600_SEA-ep-1044,2005,512262,9400,.
Zhejiang-EP_Coal_600_SEA-ep-1045,2005,512262,9400,.
Zhejiang-EP_Coal_600_SEA-ep-1046,2004,512262,9400,.
Zhejiang-EP_Coal_600_SEA-ep-1047,2004,512262,9400,.
Zhejiang-EP_Coal_600_SEA-ep-1052,1994,512262,9400,.
Zhejiang-EP_Coal_600_SEA-ep-1053,1991,512262,9400,.
Zhejiang-EP_Coal_600_SEA-ep-1054,2006,512262,9400,.
Zhejiang-EP_Coal_600_SEA-ep-1055,2006,512262,9400,.
Zhejiang-EP_Coal_600_SEA-ep-1056,2006,512262,9400,.
Zhejiang-EP_Coal_600_SEA-ep-1057,2006,512262,9400,.
Zhejiang-EP_Coal_600_SEA-ep-1058,2006,512262,9400,.
Zhejiang-EP_Coal_600_SEA-ep-1059,2006,512262,9400,.
Zhejiang-EP_Coal_600_SEA-ep-1060,2005,512262,9400,.
Zhejiang-EP_Coal_600_SEA-ep-1061,2006,512262,9400,.
Zhejiang-EP_Coal_600_SEA-ep-1062,2000,512262,9400,.
Zhejiang-EP_Coal_600_SEA-ep-1063,2000,512262,9400,.
Zhejiang-EP_Coal_600_SEA-ep-1064,2000,512262,9400,.
Zhejiang-EP_Coal_600_SEA-ep-1065,2008,512262,9400,.
Zhejiang-EP_Coal_600_SEA-ep-1066,2008,512262,9400,.
Zhejiang-EP_Coal_600_SEA-ep-3089,2016,512262,9400,.
Zhejiang-EP_Coal_600_SEA-ep-3090,2016,512262,9400,.
Zhejiang-EP_Gas_CCGT_OT-ep-1084,2007,665600,12800,.
Zhejiang-EP_Gas_CCGT_OT-ep-1085,2007,665600,12800,.
Zhejiang-EP_Gas_CCGT_OT-ep-1106,2011,665600,12800,.
Zhejiang-EP_Gas_CCGT_RC-ep-1067,2015,665600,12800,.
Zhejiang-EP_Gas_CCGT_RC-ep-1068,2015,665600,12800,.
Zhejiang-EP_Gas_CCGT_RC-ep-1069,2014,665600,12800,.
Zhejiang-EP_Gas_CCGT_RC-ep-1070,2013,665600,12800,.
Zhejiang-EP_Gas_CCGT_RC-ep-1071,2013,665600,12800,.
Zhejiang-EP_Gas_CCGT_RC-ep-1072,2014,665600,12800,.
Zhejiang-EP_Gas_CCGT_RC-ep-1073,2013,665600,12800,.
Zhejiang-EP_Gas_CCGT_RC-ep-1074,2013,665600,12800,.
Zhejiang-EP_Gas_CCGT_RC-ep-1075,2007,665600,12800,.
