GENERATION_PROJECT,build_year,gen_overnight_cost,gen_fixed_om,gen_storage_energy_overnight_cost
Anhui-EP_Coal_300_OT-ep-1219,2005,628457,12086,.
Anhui-EP_Coal_300_OT-ep-1220,2005,628457,12086,.
Anhui-EP_Coal_300_OT-ep-1221,2005,628457,12086,.
Anhui-EP_Coal_300_RC-ep-1200,2012,628457,12086,.
Anhui-EP_Coal_300_RC-ep-1201,2012,628457,12086,.
Anhui-EP_Coal_300_RC-ep-1202,2001,628457,12086,.
Anhui-EP_Coal_300_RC-ep-1203,2000,628457,12086,.
Anhui-EP_Coal_300_RC-ep-1204,2012,628457,12086,.
Anhui-EP_Coal_300_RC-ep-1205,2011,628457,12086,.
Anhui-EP_Coal_300_RC-ep-1210,1986,628457,12086,.
Anhui-EP_Coal_300_RC-ep-1211,1986,628457,12086,.
Anhui-EP_Coal_300_RC-ep-1212,2000,628457,12086,.
Anhui-EP_Coal_300_RC-ep-1213,2000,628457,12086,.
Anhui-EP_Coal_300_RC-ep-1214,2009,628457,12086,.
Anhui-EP_Coal_300_RC-ep-1215,2009,628457,12086,.
Anhui-EP_Coal_300_RC-ep-1216,1990,628457,12086,.
Anhui-EP_Coal_300_RC-ep-1217,1990,628457,12086,.
Anhui-EP_Coal_300_RC-ep-1222,2005,628457,12086,.
Anhui-EP_Coal_300_RC-ep-1223,1996,628457,12086,.
Anhui-EP_Coal_300_RC-ep-1224,2012,628457,12086,.
Anhui-EP_Coal_300_RC-ep-1225,2012,628457,12086,.
Anhui-EP_Coal_300_RC-ep-1226,1999,628457,12086,.
Anhui-EP_Coal_300_RC-ep-1227,1999,628457,12086,.
Anhui-EP_Coal_300_RC-ep-1228,2013,628457,12086,.
Anhui-EP_Coal_300_RC-ep-1229,2013,628457,12086,.
Anhui-EP_Coal_600_OT-ep-1168,2008,512262,9400,.
Anhui-EP_Coal_600_OT-ep-1169,2008,512262,9400,.
Anhui-EP_Coal_600_OT-ep-1170,2008,512262,9400,.
Anhui-EP_Coal_600_OT-ep-1171,2008,512262,9400,.
Anhui-EP_Coal_600_OT-ep-1172,2012,512262,9400,.
Anhui-EP_Coal_600_OT-ep-1173,2012,512262,9400,.
Anhui-EP_Coal_600_OT-ep-1174,2011,512262,9400,.
Anhui-EP_Coal_600_OT-ep-1175,2010,512262,9400,.
Anhui-EP_Coal_600_OT-ep-1194,2008,512262,9400,.
Anhui-EP_Coal_600_OT-ep-1195,2008,512262,9400,.
Anhui-EP_Coal_600_RC-ep-1158,2015,572986,10514,.
Anhui-EP_Coal_600_RC-ep-1159,2013,572986,10514,.
Anhui-EP_Coal_600_RC-ep-1160,2013,572986,10514,.
Anhui-EP_Coal_600_RC-ep-1161,2014,572986,10514,.
Anhui-EP_Coal_600_RC-ep-1162,2013,572986,10514,.
Anhui-EP_Coal_600_RC-ep-1163,2014,572986,10514,.
Anhui-EP_Coal_600_RC-ep-1164,2013,572986,10514,.
Anhui-EP_Coal_600_RC-ep-1165,2014,572986,10514,.
Anhui-EP_Coal_600_RC-ep-1166,2014,572986,10514,.
