GENERATION_PROJECT,PERIOD,gen_tech,gen_load_zone,gen_energy_source,GenCapacity,SuspendGen_total,GenStorageCapacity,GenCapitalRecovery,GenFixedOMCosts
Anhui-Coal_300_OT-12111,2030,Coal_300_OT,Anhui,Coal,5.96321e-06,0,.,0.302859,0.0339247
Anhui-Coal_300_OT-12111,2035,Coal_300_OT,Anhui,Coal,6.98331e-06,0,.,0.354668,0.0397281
Anhui-Coal_300_OT-12111,2040,Coal_300_OT,Anhui,Coal,1.72638e-05,0,.,0.876794,0.0982139
Anhui-Coal_300_OT-12111,2045,Coal_300_OT,Anhui,Coal,2.55934e-05,0,.,1.29983,0.145601
Anhui-Coal_300_OT-12111,2050,Coal_300_OT,Anhui,Coal,0.000202307,0,.,10.2747,1.15092
Anhui-Coal_300_OT-12111,2055,Coal_300_OT,Anhui,Coal,0.0002743,0,.,13.9311,1.56049
Anhui-Coal_300_OT-12111,2060,Coal_300_OT,Anhui,Coal,0.00038051,0,.,19.3253,2.16472
Anhui-Coal_300_RC-12119,2020,Coal_300_RC,Anhui,Coal,3.22442e-06,0,.,0.174407,0.0195367
Anhui-Coal_300_RC-12119,2025,Coal_300_RC,Anhui,Coal,4.60573e-06,0,.,0.249122,0.0279061
Anhui-Coal_300_RC-12119,2030,Coal_300_RC,Anhui,Coal,5.89752e-06,0,.,0.318994,0.0357331
Anhui-Coal_300_RC-12119,2035,Coal_300_RC,Anhui,Coal,6.83666e-06,0,.,0.369792,0.0414233
Anhui-Coal_300_RC-12119,2040,Coal_300_RC,Anhui,Coal,1.71266e-05,0,.,0.926372,0.10377
Anhui-Coal_300_RC-12119,2045,Coal_300_RC,Anhui,Coal,2.53685e-05,0,.,1.37217,0.153708
Anhui-Coal_300_RC-12119,2050,Coal_300_RC,Anhui,Coal,0.00014117,0,.,7.63585,0.855351
Anhui-Coal_300_RC-12119,2055,Coal_300_RC,Anhui,Coal,0.000185069,0,.,10.0103,1.12133
Anhui-Coal_300_RC-12119,2060,Coal_300_RC,Anhui,Coal,0.000245851,0,.,13.298,1.48961
Anhui-Coal_300_RC-12129,2020,Coal_300_RC,Anhui,Coal,3.22289e-06,0,.,0.174325,0.0195275
Anhui-Coal_300_RC-12129,2025,Coal_300_RC,Anhui,Coal,4.51805e-06,0,.,0.244379,0.0273748
Anhui-Coal_300_RC-12129,2030,Coal_300_RC,Anhui,Coal,5.71501e-06,0,.,0.309122,0.0346272
Anhui-Coal_300_RC-12129,2035,Coal_300_RC,Anhui,Coal,6.67233e-06,0,.,0.360904,0.0404277
Anhui-Coal_300_RC-12129,2040,Coal_300_RC,Anhui,Coal,1.64479e-05,0,.,0.88966,0.0996577
Anhui-Coal_300_RC-12129,2045,Coal_300_RC,Anhui,Coal,2.43765e-05,0,.,1.31851,0.147697
Anhui-Coal_300_RC-12129,2050,Coal_300_RC,Anhui,Coal,0.000135057,0,.,7.30516,0.818308
Anhui-Coal_300_RC-12129,2055,Coal_300_RC,Anhui,Coal,0.00017992,0,.,9.73182,1.09014
Anhui-Coal_300_RC-12129,2060,Coal_300_RC,Anhui,Coal,0.000241916,0,.,13.0851,1.46577
Anhui-Coal_600_OT-12109,2020,Coal_600_OT,Anhui,Coal,3.88844e-06,0,.,0.186737,0.0204182
Anhui-Coal_600_OT-12109,2025,Coal_600_OT,Anhui,Coal,5.489e-06,0,.,0.263602,0.0288227
Anhui-Coal_600_OT-12109,2030,Coal_600_OT,Anhui,Coal,7.03971e-06,0,.,0.338073,0.0369655
Anhui-Coal_600_OT-12109,2035,Coal_600_OT,Anhui,Coal,8.2441e-06,0,.,0.395912,0.0432898
Anhui-Coal_600_OT-12109,2040,Coal_600_OT,Anhui,Coal,1.95533e-05,0,.,0.939021,0.102674
Anhui-Coal_600_OT-12109,2045,Coal_600_OT,Anhui,Coal,2.8999e-05,0,.,1.39264,0.152274
Anhui-Coal_600_OT-12109,2050,Coal_600_OT,Anhui,Coal,0.000451882,0,.,21.7011,2.37283
Anhui-Coal_600_OT-12109,2055,Coal_600_OT,Anhui,Coal,0.000643147,0,.,30.8863,3.37717
Anhui-Coal_600_OT-12109,2060,Coal_600_OT,Anhui,Coal,0.000918688,0,.,44.1188,4.82403
Anhui-Coal_600_RC-12117,2020,Coal_600_RC,Anhui,Coal,3.98919e-06,0,.,0.195117,0.0213382
Anhui-Coal_600_RC-12117,2025,Coal_600_RC,Anhui,Coal,5.62663e-06,0,.,0.275207,0.0300968
Anhui-Coal_600_RC-12117,2030,Coal_600_RC,Anhui,Coal,7.19627e-06,0,.,0.35198,0.0384928
Anhui-Coal_600_RC-12117,2035,Coal_600_RC,Anhui,Coal,8.36631e-06,0,.,0.409209,0.0447514
Anhui-Coal_600_RC-12117,2040,Coal_600_RC,Anhui,Coal,1.92767e-05,0,.,0.942853,0.103111
Anhui-Coal_600_RC-12117,2045,Coal_600_RC,Anhui,Coal,2.85823e-05,0,.,1.39801,0.152887
Anhui-Coal_600_RC-12117,2050,Coal_600_RC,Anhui,Coal,0.000331302,0,.,16.2045,1.77214
Anhui-Coal_600_RC-12117,2055,Coal_600_RC,Anhui,Coal,0.000462231,0,.,22.6084,2.47247
Anhui-Coal_600_RC-12117,2060,Coal_600_RC,Anhui,Coal,0.000646242,0,.,31.6087,3.45675
Anhui-Coal_600_RC-12127,2020,Coal_600_RC,Anhui,Coal,3.83496e-06,0,.,0.187573,0.0205132
Anhui-Coal_600_RC-12127,2025,Coal_600_RC,Anhui,Coal,5.41352e-06,0,.,0.264783,0.0289569
Anhui-Coal_600_RC-12127,2030,Coal_600_RC,Anhui,Coal,6.92222e-06,0,.,0.338576,0.037027
Anhui-Coal_600_RC-12127,2035,Coal_600_RC,Anhui,Coal,7.9542e-06,0,.,0.389052,0.042547
Anhui-Coal_600_RC-12127,2040,Coal_600_RC,Anhui,Coal,1.92733e-05,0,.,0.942687,0.103093
Anhui-Coal_600_RC-12127,2045,Coal_600_RC,Anhui,Coal,2.85841e-05,0,.,1.39809,0.152896
Anhui-Coal_600_RC-12127,2050,Coal_600_RC,Anhui,Coal,0.00033098,0,.,16.1887,1.77041
Anhui-Coal_600_RC-12127,2055,Coal_600_RC,Anhui,Coal,0.000456361,0,.,22.3213,2.44108
Anhui-Coal_600_RC-12127,2060,Coal_600_RC,Anhui,Coal,0.0006408,0,.,31.3425,3.42764
Anhui-Coal_IGCC_RC-12121,2020,Coal_IGCC_RC,Anhui,Coal,1.57115e-06,0,.,0.215447,0.0235673
Anhui-Coal_IGCC_RC-12121,2025,Coal_IGCC_RC,Anhui,Coal,2.23806e-06,0,.,0.306897,0.0335708
Anhui-Coal_IGCC_RC-12121,2030,Coal_IGCC_RC,Anhui,Coal,2.92179e-06,0,.,0.400654,0.0438268
Anhui-Coal_IGCC_RC-12121,2035,Coal_IGCC_RC,Anhui,Coal,3.44583e-06,0,.,0.472515,0.0516875
Anhui-Coal_IGCC_RC-12121,2040,Coal_IGCC_RC,Anhui,Coal,8.06293e-06,0,.,1.10564,0.120944
Anhui-Coal_IGCC_RC-12121,2045,Coal_IGCC_RC,Anhui,Coal,1.19266e-05,0,.,1.63546,0.1789
Anhui-Coal_IGCC_RC-12121,2050,Coal_IGCC_RC,Anhui,Coal,2.43304e-05,0,.,3.33635,0.364957
Anhui-Coal_IGCC_RC-12121,2055,Coal_IGCC_RC,Anhui,Coal,3.09305e-05,0,.,4.24139,0.463958
Anhui-Coal_IGCC_RC-12121,2060,Coal_IGCC_RC,Anhui,Coal,3.8684e-05,0,.,5.3046,0.58026
Anhui-Coal_IGCC_RC-12131,2020,Coal_IGCC_RC,Anhui,Coal,1.62032e-06,0,.,0.222188,0.0243048
Anhui-Coal_IGCC_RC-12131,2025,Coal_IGCC_RC,Anhui,Coal,2.24013e-06,0,.,0.307181,0.033602
Anhui-Coal_IGCC_RC-12131,2030,Coal_IGCC_RC,Anhui,Coal,2.92181e-06,0,.,0.400658,0.0438272
Anhui-Coal_IGCC_RC-12131,2035,Coal_IGCC_RC,Anhui,Coal,3.445e-06,0,.,0.4724,0.051675
Anhui-Coal_IGCC_RC-12131,2040,Coal_IGCC_RC,Anhui,Coal,7.72294e-06,0,.,1.05902,0.115844
Anhui-Coal_IGCC_RC-12131,2045,Coal_IGCC_RC,Anhui,Coal,1.14271e-05,0,.,1.56696,0.171406
Anhui-Coal_IGCC_RC-12131,2050,Coal_IGCC_RC,Anhui,Coal,2.33533e-05,0,.,3.20235,0.350299
Anhui-Coal_IGCC_RC-12131,2055,Coal_IGCC_RC,Anhui,Coal,3.02476e-05,0,.,4.14775,0.453714
Anhui-Coal_IGCC_RC-12131,2060,Coal_IGCC_RC,Anhui,Coal,3.74552e-05,0,.,5.13609,0.561827
Anhui-Commercial_PV-2,2020,Commercial_PV,Anhui,Solar,8.85594e-07,0,.,0.135299,0.0132839
Anhui-Commercial_PV-2,2025,Commercial_PV,Anhui,Solar,1.38263e-06,0,.,0.211236,0.0207395
Anhui-Commercial_PV-2,2030,Commercial_PV,Anhui,Solar,2.69206e-06,0,.,0.411289,0.040381
Anhui-Commercial_PV-2,2035,Commercial_PV,Anhui,Solar,1.1251e-05,0,.,1.71891,0.168765
Anhui-Commercial_PV-2,2040,Commercial_PV,Anhui,Solar,1.0397e-05,0,.,1.58843,0.155955
Anhui-Commercial_PV-2,2045,Commercial_PV,Anhui,Solar,9.98162e-06,0,.,1.52497,0.149724
Anhui-Commercial_PV-2,2050,Commercial_PV,Anhui,Solar,9.1524e-06,0,.,1.39829,0.137286
Anhui-Commercial_PV-2,2055,Commercial_PV,Anhui,Solar,1.17278e-05,0,.,1.79175,0.175916
Anhui-Commercial_PV-2,2060,Commercial_PV,Anhui,Solar,1.86893e-05,0,.,2.85531,0.280339
Anhui-Commercial_PV-3,2020,Commercial_PV,Anhui,Solar,8.85598e-07,0,.,0.1353,0.013284
Anhui-Commercial_PV-3,2025,Commercial_PV,Anhui,Solar,1.38264e-06,0,.,0.211237,0.0207396
Anhui-Commercial_PV-3,2030,Commercial_PV,Anhui,Solar,2.69206e-06,0,.,0.411288,0.0403808
Anhui-Commercial_PV-3,2035,Commercial_PV,Anhui,Solar,1.12522e-05,0,.,1.71909,0.168783
Anhui-Commercial_PV-3,2040,Commercial_PV,Anhui,Solar,1.03981e-05,0,.,1.58861,0.155972
Anhui-Commercial_PV-3,2045,Commercial_PV,Anhui,Solar,9.98277e-06,0,.,1.52515,0.149742
Anhui-Commercial_PV-3,2050,Commercial_PV,Anhui,Solar,9.15356e-06,0,.,1.39847,0.137303
Anhui-Commercial_PV-3,2055,Commercial_PV,Anhui,Solar,1.17277e-05,0,.,1.79174,0.175916
Anhui-Commercial_PV-3,2060,Commercial_PV,Anhui,Solar,1.86892e-05,0,.,2.85531,0.280338
Anhui-Commercial_PV-4,2020,Commercial_PV,Anhui,Solar,8.85597e-07,0,.,0.1353,0.013284
Anhui-Commercial_PV-4,2025,Commercial_PV,Anhui,Solar,1.38264e-06,0,.,0.211237,0.0207396
Anhui-Commercial_PV-4,2030,Commercial_PV,Anhui,Solar,2.69207e-06,0,.,0.41129,0.040381
Anhui-Commercial_PV-4,2035,Commercial_PV,Anhui,Solar,1.1251e-05,0,.,1.71891,0.168765
