GENERATION_PROJECT,PERIOD,gen_tech,gen_load_zone,gen_energy_source,BuildGen,BuildStorageEnergy,GenCapitalOutlay
Anhui-Gas_CCGT_RC-12133,2020,Gas_CCGT_RC,Anhui,Gas,1.72757e-06,.,1.15039
Anhui-Gas_CCGT_RC-12133,2025,Gas_CCGT_RC,Anhui,Gas,8.7237e-07,.,0.580911
Anhui-Gas_CCGT_RC-12133,2030,Gas_CCGT_RC,Anhui,Gas,1.72943e-06,.,1.15163
Anhui-Gas_CCGT_RC-12133,2035,Gas_CCGT_RC,Anhui,Gas,5.06394e-06,.,3.37208
Anhui-Gas_CCGT_RC-12133,2040,Gas_CCGT_RC,Anhui,Gas,3.58152e-07,.,0.238494
Anhui-Gas_CCGT_RC-12133,2045,Gas_CCGT_RC,Anhui,Gas,3.09608e-06,.,2.06168
Anhui-Gas_CCGT_RC-12133,2050,Gas_CCGT_RC,Anhui,Gas,2.99921e-05,.,19.9717
Anhui-Gas_CCGT_RC-12133,2055,Gas_CCGT_RC,Anhui,Gas,2.35507e-05,.,15.6824
Anhui-Gas_CCGT_RC-12133,2060,Gas_CCGT_RC,Anhui,Gas,2.94476e-05,.,19.6091
Anhui-Gas_Combustion_Turbine_RC-13107,2020,Gas_Combustion_Turbine_RC,Anhui,Gas,1.88792e-06,.,0.914966
Anhui-Gas_Combustion_Turbine_RC-13107,2025,Gas_Combustion_Turbine_RC,Anhui,Gas,9.5698e-07,.,0.463794
Anhui-Gas_Combustion_Turbine_RC-13107,2030,Gas_Combustion_Turbine_RC,Anhui,Gas,1.35326e-06,.,0.655847
Anhui-Gas_Combustion_Turbine_RC-13107,2035,Gas_Combustion_Turbine_RC,Anhui,Gas,1.69162e-06,.,0.819833
Anhui-Gas_Combustion_Turbine_RC-13107,2040,Gas_Combustion_Turbine_RC,Anhui,Gas,4.3705e-06,.,2.11813
Anhui-Gas_Combustion_Turbine_RC-13107,2045,Gas_Combustion_Turbine_RC,Anhui,Gas,5.00475e-06,.,2.42552
Anhui-Gas_Combustion_Turbine_RC-13107,2050,Gas_Combustion_Turbine_RC,Anhui,Gas,0.000268293,.,130.026
Anhui-Gas_Combustion_Turbine_RC-13107,2055,Gas_Combustion_Turbine_RC,Anhui,Gas,0.000143542,.,69.5667
Anhui-Gas_Combustion_Turbine_RC-13107,2060,Gas_Combustion_Turbine_RC,Anhui,Gas,0.000217623,.,105.47
Anhui-Nuclear_SMR-13106,2020,Nuclear_SMR,Anhui,Uranium,1380.63,.,5.57031e+09
Anhui-Nuclear_SMR-13106,2025,Nuclear_SMR,Anhui,Uranium,969.367,.,3.91101e+09
Anhui-Nuclear_SMR-13106,2030,Nuclear_SMR,Anhui,Uranium,1.39744e-08,.,0.0563813
Anhui-Nuclear_SMR-13106,2035,Nuclear_SMR,Anhui,Uranium,2.13945e-08,.,0.0863185
Anhui-Nuclear_SMR-13106,2040,Nuclear_SMR,Anhui,Uranium,2.63209e-08,.,0.106195
Anhui-Nuclear_SMR-13106,2045,Nuclear_SMR,Anhui,Uranium,4.25881e-08,.,0.171826
Anhui-Nuclear_SMR-13106,2050,Nuclear_SMR,Anhui,Uranium,9.17449e-08,.,0.370154
Anhui-Nuclear_SMR-13106,2055,Nuclear_SMR,Anhui,Uranium,1.97912e-07,.,0.798497
Anhui-Nuclear_SMR-13106,2060,Nuclear_SMR,Anhui,Uranium,1380.63,.,5.57031e+09
Anhui-Residential_PV-201,2020,Residential_PV,Anhui,Solar,4.68251e-07,.,1.12292
Anhui-Residential_PV-201,2025,Residential_PV,Anhui,Solar,1.81174e-07,.,0.434478
Anhui-Residential_PV-201,2030,Residential_PV,Anhui,Solar,5.27794e-07,.,1.21686
Anhui-Residential_PV-201,2035,Residential_PV,Anhui,Solar,2.4572e-06,.,5.52842
Anhui-Residential_PV-201,2040,Residential_PV,Anhui,Solar,5.26359e-08,.,0.115804
Anhui-Residential_PV-201,2045,Residential_PV,Anhui,Solar,3.52419e-07,.,0.757669
Anhui-Residential_PV-201,2050,Residential_PV,Anhui,Solar,2.3306e-06,.,4.90867
Anhui-Residential_PV-201,2055,Residential_PV,Anhui,Solar,4.99086e-06,.,10.5117
Anhui-Residential_PV-201,2060,Residential_PV,Anhui,Solar,4.33655e-06,.,9.13357
Anhui-Residential_PV-202,2020,Residential_PV,Anhui,Solar,4.68256e-07,.,1.12294
Anhui-Residential_PV-202,2025,Residential_PV,Anhui,Solar,1.81175e-07,.,0.43448
Anhui-Residential_PV-202,2030,Residential_PV,Anhui,Solar,5.27796e-07,.,1.21686
Anhui-Residential_PV-202,2035,Residential_PV,Anhui,Solar,2.45692e-06,.,5.52778
Anhui-Residential_PV-202,2040,Residential_PV,Anhui,Solar,5.26358e-08,.,0.115804
Anhui-Residential_PV-202,2045,Residential_PV,Anhui,Solar,3.52417e-07,.,0.757664
Anhui-Residential_PV-202,2050,Residential_PV,Anhui,Solar,2.33057e-06,.,4.9086
Anhui-Residential_PV-202,2055,Residential_PV,Anhui,Solar,4.9909e-06,.,10.5118
Anhui-Residential_PV-202,2060,Residential_PV,Anhui,Solar,4.33655e-06,.,9.13357
Anhui-Residential_PV-203,2020,Residential_PV,Anhui,Solar,4.6825e-07,.,1.12292
Anhui-Residential_PV-203,2025,Residential_PV,Anhui,Solar,1.81174e-07,.,0.434478
Anhui-Residential_PV-203,2030,Residential_PV,Anhui,Solar,5.27793e-07,.,1.21686
Anhui-Residential_PV-203,2035,Residential_PV,Anhui,Solar,2.45721e-06,.,5.52846
Anhui-Residential_PV-203,2040,Residential_PV,Anhui,Solar,5.26359e-08,.,0.115804
Anhui-Residential_PV-203,2045,Residential_PV,Anhui,Solar,3.52419e-07,.,0.757669
Anhui-Residential_PV-203,2050,Residential_PV,Anhui,Solar,2.3306e-06,.,4.90867
Anhui-Residential_PV-203,2055,Residential_PV,Anhui,Solar,4.99086e-06,.,10.5116
Anhui-Residential_PV-203,2060,Residential_PV,Anhui,Solar,4.33655e-06,.,9.13357
Anhui-Residential_PV-204,2020,Residential_PV,Anhui,Solar,4.68249e-07,.,1.12292
Anhui-Residential_PV-204,2025,Residential_PV,Anhui,Solar,1.81174e-07,.,0.434477
Anhui-Residential_PV-204,2030,Residential_PV,Anhui,Solar,5.27793e-07,.,1.21685
Anhui-Residential_PV-204,2035,Residential_PV,Anhui,Solar,2.45723e-06,.,5.52849
Anhui-Residential_PV-204,2040,Residential_PV,Anhui,Solar,5.26359e-08,.,0.115804
Anhui-Residential_PV-204,2045,Residential_PV,Anhui,Solar,3.52419e-07,.,0.757669
Anhui-Residential_PV-204,2050,Residential_PV,Anhui,Solar,2.3306e-06,.,4.90868
Anhui-Residential_PV-204,2055,Residential_PV,Anhui,Solar,4.99087e-06,.,10.5117
Anhui-Residential_PV-204,2060,Residential_PV,Anhui,Solar,4.33656e-06,.,9.13357
Anhui-Wind-1081,2020,Wind,Anhui,Wind,1.81066e-05,.,20.5047
Anhui-Wind-1081,2025,Wind,Anhui,Wind,1806,.,2.04519e+09
Anhui-Wind-1081,2030,Wind,Anhui,Wind,1.93786e-07,.,0.214607
Anhui-Wind-1081,2035,Wind,Anhui,Wind,2.73398e-08,.,0.0295886
Anhui-Wind-1081,2040,Wind,Anhui,Wind,6.8374e-09,.,0.00722856
Anhui-Wind-1081,2045,Wind,Anhui,Wind,1.07154e-08,.,0.0110546
Anhui-Wind-1081,2050,Wind,Anhui,Wind,4.62934e-07,.,0.467488
Anhui-Wind-1081,2055,Wind,Anhui,Wind,7.3336e-05,.,74.0575
Anhui-Wind-1081,2060,Wind,Anhui,Wind,0.00021319,.,215.287
Anhui-Wind-1082,2020,Wind,Anhui,Wind,1.81066e-05,.,20.5047
Anhui-Wind-1082,2025,Wind,Anhui,Wind,1806,.,2.04519e+09
