gen_tech,gen_load_zone,gen_energy_source,period,Energy_GWh_typical_yr,VariableCost_per_yr,DispatchEmissions_tCO2_per_typical_yr,GenCapacity_MW,GenCapitalCosts,GenFixedOMCosts,LCOE_dollar_per_MWh,capacity_factor,Store_GWh_typical_yr,Discharge_GWh_typical_yr
Central_PV,Sichuan,Solar,2035,115116.87607497757,0.0,0.0,115999.99998816763,14213272035.40322,1391999999.8580117,135.56024596339162,0.11328617155440074,0.0,0.0
Central_PV,Sichuan,Solar,2040,118754.2156046184,0.0,0.0,115999.999975837,14213272033.892368,1391999999.7100441,131.4081521582255,0.11686566645937166,0.0,0.0
Central_PV,Sichuan,Solar,2045,120842.3285496138,0.0,0.0,115999.99996333449,14213272032.360456,1391999999.5600138,129.13746548266383,0.11892057214199524,0.0,0.0
Central_PV,Sichuan,Solar,2050,51100.662240798025,0.0,0.0,46605.49775415457,5710488086.1443205,559265973.0498549,122.69418407240317,0.12516568243449216,0.0,0.0
Central_PV,Sichuan,Solar,2055,0.00014689183769251742,0.0,0.0,0.00018316619628938014,22.443025653591185,2.1979943554725616,167.7494161428069,0.09154786724915857,0.0,0.0
Central_PV,Sichuan,Solar,2060,0.00021379080044253276,0.0,0.0,0.00027638640876282165,33.865131164093455,3.3166369051538602,173.9165950652859,0.08830152910020288,0.0,0.0
Central_PV,Zhejiang,Solar,2020,3.969225468382978e-06,0.0,0.0,6.787698585391575e-06,0.8316845387787315,0.0814523830246989,230.0541828820405,0.06675427974304576,0.0,0.0
Central_PV,Zhejiang,Solar,2025,7.722395547468404e-06,0.0,0.0,1.2192009486465969e-05,1.4938650647158056,0.14630411383759162,212.39124161298443,0.07230571827509243,0.0,0.0
Central_PV,Zhejiang,Solar,2030,8658.327201528038,0.0,0.0,10472.45531574508,1283171174.9695883,125669463.78894094,162.7151071987548,0.09438030398374135,0.0,0.0
Central_PV,Zhejiang,Solar,2035,51896.12508189358,0.0,0.0,62769.61335434361,7691048191.839376,753235360.2521234,162.715107125362,0.09438030402631169,0.0,0.0
Central_PV,Zhejiang,Solar,2040,51896.125045951994,0.0,0.0,62769.61334767131,7691048191.0218315,753235360.1720557,162.71510722075692,0.09438030397097939,0.0,0.0
Central_PV,Zhejiang,Solar,2045,51896.12502593141,0.0,0.0,62769.61334248287,7691048190.386101,753235360.1097945,162.71510727007967,0.0943803039423705,0.0,0.0
Central_PV,Zhejiang,Solar,2050,43237.797809022886,0.0,0.0,52297.158039462905,6407877016.9756975,627565896.4735547,162.71510738183554,0.0943803038775483,0.0,0.0
Central_PV,Zhejiang,Solar,2055,3.8839925438460224e-05,0.0,0.0,7.242940122647028e-05,8.874644681881014,0.8691528147176433,250.87065401392647,0.06121521602647485,0.0,0.0
Central_PV,Zhejiang,Solar,2060,6.513238269310579e-05,0.0,0.0,0.0001185496473742209,14.525675758644823,1.4225957684906505,244.85932907262708,0.06271805668311094,0.0,0.0
Central_PV_EP,Anhui,Solar,2020,12282.655985400776,0.0,0.0,13876.900000000001,2034505607.0399158,399502074.1,198.16623408104806,0.10104055507344713,0.0,0.0
Central_PV_EP,Anhui,Solar,2025,13527.482090441312,0.0,0.0,15283.300000000001,2240699258.77344,439990923.70000005,198.16623408192496,0.10104055507300004,0.0,0.0
Central_PV_EP,Anhui,Solar,2030,13525.711860089928,0.0,0.0,15281.300000000001,2240406036.8568673,439933345.70000005,198.166234079383,0.1010405550742961,0.0,0.0
Central_PV_EP,Anhui,Solar,2035,12877.09939611392,0.0,0.0,14548.5,2132969526.6248379,418836766.50000006,198.1662340740282,0.10104055507702639,0.0,0.0
Central_PV_EP,Anhui,Solar,2040,1244.8260988047127,0.0,0.0,1406.4,206193651.73352388,40488849.6,198.1662350832694,0.10104055456243674,0.0,0.0
Central_PV_EP,Fujian,Solar,2020,1441.0953885777708,0.0,0.0,1571.7,230428443.13821065,45247671.3,191.29622967587022,0.10466921550043176,0.0,0.0
Central_PV_EP,Fujian,Solar,2025,2092.0960415388363,0.0,0.0,2281.7,334522223.52131784,65687861.3,191.29622965442076,0.10466921551216801,0.0,0.0
Central_PV_EP,Fujian,Solar,2030,2092.096040875047,0.0,0.0,2281.7,334522223.52131784,65687861.3,191.29622971511603,0.10466921547895813,0.0,0.0
Central_PV_EP,Fujian,Solar,2035,2042.3999358828673,0.0,0.0,2227.5,326575909.58221304,64127497.5,191.2962296061392,0.10466921553858563,0.0,0.0
Central_PV_EP,Fujian,Solar,2040,651.0006464644712,0.0,0.0,710.0,104093780.38310719,20440190.0,191.29623151596013,0.1046692144936123,0.0,0.0
Central_PV_EP,Jiangsu,Solar,2020,9264.691175924861,0.0,0.0,10076.6,1477339982.2653773,290095237.4,190.77108843716425,0.10495734155733363,0.0,0.0
Central_PV_EP,Jiangsu,Solar,2025,10432.362592170874,0.0,0.0,11346.6,1663535899.2886815,326657267.4,190.7710884380354,0.10495734155685436,0.0,0.0
